state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym  -0.500 -0.000  0.001  0.042  0.990  0.902  0.012  0.060
2Sing?Sym   0.183  0.000  0.001  0.504  0.987  0.346  0.013  0.150
3Sing?Sym   0.511  0.000  0.001  0.264  0.986  0.672  0.013  0.064
4Sing?Sym   0.788  0.000  0.001  0.025  0.990  0.615  0.013  0.364
5Sing?Sym   1.103  0.000  0.001  0.298  0.986  0.582  0.013  0.120
6Sing?Sym   1.393  0.000  0.001  0.598  0.986  0.211  0.013  0.191
7Sing?Sym   1.409  0.017  0.002  0.133  1.010  0.811  0.014  0.082
8Sing?Sym   1.443  0.058  0.002  0.406  0.989  0.439  0.013  0.159
9Sing?Sym   1.599  0.000  0.001  0.394  0.986  0.249  0.013  0.356
10Sing?Sym  1.662  0.000  0.001  0.166  0.987  0.757  0.012  0.077
11Sing?Sym  1.810  0.020  0.003  0.233  0.991  0.562  0.015  0.214
12Sing?Sym  1.939  0.000  0.001  0.574  0.986  0.327  0.013  0.099
13Sing?Sym  2.015  0.000  0.002  0.748  0.988  0.219  0.013  0.035
14Sing?Sym  2.055  0.076  0.021  0.359  0.963  0.498  0.021  0.149
15Sing?Sym  2.075  0.102  0.024  0.334  0.968  0.525  0.022  0.155
16Sing?Sym  2.079  0.000  0.001  0.227  0.986  0.371  0.013  0.401
17Sing?Sym  2.278  0.090  0.046  0.093  0.933  0.847  0.025  0.065
18Sing?Sym  2.327  0.761  0.645  0.385  0.218  0.453  0.144  0.169
19Sing?Sym  2.424  0.065  0.028  0.198  0.972  0.778  0.026  0.050
20Sing?Sym  2.492  0.001  0.002  0.968  0.986  0.006  0.013  0.026
