state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   3.298  1.253  0.622  0.317  0.185  0.325  0.200  0.365
2Sing?Sym   3.886  0.044  0.584  0.354  0.075  0.287  0.343  0.362
3Sing?Sym   3.936  0.020  0.020  0.268  0.943  0.374  0.040  0.360
4Sing?Sym   4.070  0.097  0.399  0.376  0.417  0.280  0.186  0.346
5Sing?Sym   4.289  0.002  0.386  0.181  0.223  0.241  0.391  0.578
6Sing?Sym   4.470  0.010  0.505  0.490  0.263  0.270  0.242  0.249
7Sing?Sym   4.582  0.000  0.002  0.196  0.908  0.426  0.090  0.378
8Sing?Sym   4.784  0.011  0.384  0.194  0.264  0.502  0.355  0.306
9Sing?Sym   4.859  0.018  0.432  0.225  0.348  0.530  0.221  0.247
10Sing?Sym  4.986  0.117  0.563  0.487  0.128  0.206  0.310  0.309
11Sing?Sym  5.025  0.007  0.608  0.445  0.153  0.241  0.241  0.316
12Sing?Sym  5.065  0.005  0.690  0.603  0.116  0.141  0.194  0.257
13Sing?Sym  5.128  0.001  0.534  0.337  0.261  0.418  0.205  0.244
14Sing?Sym  5.166  0.016  0.334  0.310  0.537  0.459  0.129  0.231
15Sing?Sym  5.184  0.028  0.492  0.329  0.329  0.359  0.179  0.313
16Sing?Sym  5.212  0.004  0.529  0.283  0.159  0.213  0.313  0.504
17Sing?Sym  5.226  0.055  0.482  0.424  0.290  0.232  0.229  0.344
18Sing?Sym  5.359  0.062  0.365  0.315  0.472  0.463  0.167  0.225
19Sing?Sym  5.391  0.002  0.402  0.272  0.374  0.267  0.225  0.461
20Sing?Sym  5.404  0.004  0.363  0.232  0.384  0.314  0.254  0.455
