state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.858  1.197  1.003  1.683  2.212  0.660  2.221  0.369  1.017  1.063  9.118
2Sing?Sym   3.194  0.489  1.001  1.635  2.308  0.722  2.081  0.163  1.381  1.602 10.210
3Sing?Sym   3.388  0.117  1.007  1.784  2.314  0.482  2.060 -0.036  1.401  1.767  7.678
4Sing?Sym   3.634  0.043  1.001  1.991  1.394  0.271  1.368  0.046  2.055  2.281  6.284
5Sing?Sym   3.684  0.123  1.004  1.853  1.823  0.496  1.816 -0.141  1.544  1.883  9.180
6Sing?Sym   3.838  0.011  1.000  1.541  2.215  0.456  1.979  0.058  1.958  2.530  7.697
7Sing?Sym   3.941  0.011  1.000  1.760  1.841  0.781  1.848  0.512  1.608  2.016 10.907
8Sing?Sym   4.011  0.025  1.000  1.243  1.376  0.251  1.327 -0.135  1.648  2.016  5.772
9Sing?Sym   4.071  0.002  1.000  1.966  2.493  0.671  2.427  0.624  1.287  1.633  7.512
10Sing?Sym  4.098  0.028  1.004  1.639  2.217  0.560  2.146  0.350  2.182  2.739  9.240
11Sing?Sym  4.226  0.007  1.000  1.980  2.097  0.447  1.827  0.156  1.919  2.504  7.197
12Sing?Sym  4.303  0.027  1.001  1.751  2.534  0.676  2.458 -0.009  2.316  2.948  9.921
13Sing?Sym  4.357  0.067  1.003  1.748  2.597  0.539  2.480  0.053  3.586  4.072  8.264
14Sing?Sym  4.398  0.002  1.000  1.791  2.101  0.737  1.866 -0.265  2.198  2.718 11.097
15Sing?Sym  4.490  0.002  1.000  1.997  2.146  0.560  2.209  0.064  2.801  3.348  7.830
16Sing?Sym  4.498  0.007  1.000  2.092  2.327  0.638  2.267  0.196  2.256  2.574  7.133
17Sing?Sym  4.533  0.043  1.002  1.437  1.932  0.516  1.813  0.381  1.809  2.354  7.009
18Sing?Sym  4.588  0.137  1.004  1.838  2.284  0.519  2.186  0.165  3.412  4.046  8.241
19Sing?Sym  4.598  0.017  1.001  1.467  2.032  0.532  1.793  0.511  1.653  2.234  8.887
20Sing?Sym  4.618  0.049  1.002  1.921  2.160  0.482  1.974  0.190  2.703  3.431  7.249
