state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.874  1.529  0.532  0.390  0.252  0.292  0.233  0.335
2Sing?Sym   3.600  0.034  0.272  0.397  0.561  0.276  0.170  0.330
3Sing?Sym   3.631  0.001  0.190  0.362  0.701  0.308  0.111  0.332
4Sing?Sym   3.760  0.014  0.565  0.430  0.122  0.243  0.315  0.329
5Sing?Sym   4.094  0.000  0.382  0.321  0.305  0.218  0.320  0.468
6Sing?Sym   4.189  0.006  0.365  0.338  0.270  0.316  0.373  0.355
7Sing?Sym   4.314  0.000  0.002  0.266  0.914  0.386  0.084  0.348
8Sing?Sym   4.594  0.002  0.308  0.113  0.439  0.778  0.254  0.111
9Sing?Sym   4.625  0.000  0.664  0.571  0.128  0.018  0.207  0.411
10Sing?Sym  4.730  0.044  0.516  0.460  0.244  0.253  0.242  0.288
11Sing?Sym  4.762  0.029  0.431  0.282  0.230  0.331  0.345  0.393
12Sing?Sym  4.796  0.000  0.604  0.614  0.183  0.179  0.212  0.207
13Sing?Sym  4.871  0.000  0.444  0.179  0.316  0.520  0.240  0.301
14Sing?Sym  4.907  0.061  0.451  0.470  0.284  0.237  0.267  0.295
15Sing?Sym  5.004  0.070  0.193  0.335  0.717  0.422  0.093  0.246
16Sing?Sym  5.055  0.015  0.559  0.469  0.152  0.253  0.292  0.280
17Sing?Sym  5.174  0.003  0.442  0.493  0.303  0.237  0.259  0.274
18Sing?Sym  5.224  0.024  0.501  0.338  0.282  0.419  0.220  0.248
19Sing?Sym  5.344  0.021  0.263  0.221  0.580  0.359  0.159  0.422
20Sing?Sym  5.383  0.003  0.255  0.227  0.571  0.330  0.175  0.445
