state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   3.227  0.066  0.289  0.913  0.527  0.022  0.184  0.066
2Sing?Sym   3.305  0.159  0.830  0.635  0.122  0.169  0.051  0.199
3Sing?Sym   3.407  0.169  0.803  0.823  0.155  0.074  0.050  0.111
4Sing?Sym   3.561  0.066  0.974  0.383  0.006  0.413  0.024  0.208
5Sing?Sym   3.639  0.058  0.047  0.553  0.753  0.091  0.201  0.359
6Sing?Sym   3.750  0.686  0.092  0.111  0.701  0.551  0.217  0.348
7Sing?Sym   3.962  0.138  0.769  0.721  0.044  0.090  0.195  0.198
8Sing?Sym   4.072  0.010  0.957  0.795  0.007  0.011  0.036  0.195
9Sing?Sym   4.129  0.002  0.010  0.801  0.615  0.115  0.375  0.085
10Sing?Sym  4.170  0.280  0.632  0.279  0.085  0.426  0.286  0.297
11Sing?Sym  4.339  0.066  0.020  0.248  0.626  0.476  0.357  0.279
12Sing?Sym  4.358  0.003  0.770  0.954  0.005  0.012  0.227  0.036
13Sing?Sym  4.461  0.578  0.320  0.285  0.460  0.301  0.224  0.416
14Sing?Sym  4.537  0.386  0.393  0.372  0.369  0.277  0.244  0.357
15Sing?Sym  4.566  0.010  0.009  0.543  0.599  0.108  0.392  0.349
16Sing?Sym  4.616  0.012  0.817  0.556  0.056  0.136  0.127  0.308
17Sing?Sym  4.675  0.001  0.115  0.775  0.672  0.023  0.213  0.202
18Sing?Sym  4.698  0.000  0.018  0.027  0.841  0.923  0.141  0.050
19Sing?Sym  4.773  0.025  0.838  0.422  0.020  0.374  0.142  0.204
20Sing?Sym  4.845  0.006  0.171  0.222  0.570  0.444  0.259  0.333
