state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.034  0.000  1.000  1.520  1.023  0.998  1.022  0.964  1.000  1.000 16.497
2Sing?Sym   2.214  0.914  1.030  2.001  1.011  0.006  1.005  0.001  1.053  1.155  5.287
3Sing?Sym   2.336  0.000  1.000  1.640  1.191  0.963  1.161  0.725  1.004  1.014 15.799
4Sing?Sym   2.575  0.001  1.000  1.993  1.944  0.761  1.491  0.018  1.006  1.025 10.627
5Sing?Sym   2.713  0.004  1.000  1.525  1.040  0.993  1.040  0.969  1.007  1.025 16.415
6Sing?Sym   2.725  0.033  1.000  1.538  1.152  0.957  1.142  0.993  1.004  1.015 15.319
7Sing?Sym   2.752  0.000  1.000  2.012  1.858  0.820  1.466 -0.020  1.010  1.034 10.909
8Sing?Sym   2.840  0.000  1.000  1.562  1.076  0.986  1.071  0.879  1.001  1.004 16.522
9Sing?Sym   2.940  0.000  1.000  1.787  1.548  0.855  1.357  0.431  1.006  1.021 11.828
10Sing?Sym  2.958  0.000  1.000  1.514  1.016  0.997  1.016  0.977  1.000  1.001 20.006
11Sing?Sym  3.096  0.001  1.000  2.002  1.007  0.007  1.007 -0.002  1.038  1.122  6.173
12Sing?Sym  3.174  0.001  1.000  2.019  1.093  0.084  1.086 -0.031  1.082  1.240  6.195
13Sing?Sym  3.251  0.000  1.000  2.012  1.041  0.039  1.040 -0.017  1.185  1.440  5.470
14Sing?Sym  3.274  0.001  1.000  1.520  1.025  0.997  1.025  0.964  1.000  1.001 16.276
15Sing?Sym  3.283  0.000  1.000  2.001  1.003  0.003  1.003  0.001  1.087  1.231  6.227
16Sing?Sym  3.319  0.929  1.008  1.117  1.177  0.132  1.144  0.128  1.054  1.188  6.506
17Sing?Sym  3.363  0.000  1.000  2.015  1.063  0.058  1.059  0.028  1.265  1.486  5.438
18Sing?Sym  3.390  0.001  1.000  2.005  1.021  0.017  1.017 -0.005  1.963  2.041  6.246
19Sing?Sym  3.471  0.015  1.001  2.002  1.004  0.004  1.004 -0.000  1.199  1.427  5.489
20Sing?Sym  3.546  0.001  1.000  2.078  1.205  0.174  1.175 -0.144  1.222  1.481  6.537
