state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.945  1.368  0.460  0.449  0.480  0.471  0.082  0.101
2Sing?Sym   3.543  0.025  0.271  0.418  0.731  0.485  0.002  0.100
3Sing?Sym   3.726  0.030  0.609  0.445  0.376  0.458  0.020  0.102
4Sing?Sym   3.783  0.000  0.463  0.266  0.447  0.512  0.090  0.222
5Sing?Sym   3.935  0.011  0.483  0.472  0.469  0.445  0.050  0.084
6Sing?Sym   4.148  0.000  0.176  0.369  0.671  0.514  0.153  0.117
7Sing?Sym   4.407  0.000  0.070  0.388  0.696  0.494  0.234  0.118
8Sing?Sym   4.481  0.000  0.444  0.535  0.529  0.425  0.045  0.058
9Sing?Sym   4.498  0.000  0.531  0.528  0.404  0.449  0.065  0.023
10Sing?Sym  4.669  0.013  0.354  0.158  0.584  0.839  0.064  0.005
11Sing?Sym  4.813  0.000  0.544  0.807  0.398  0.179  0.058  0.015
12Sing?Sym  4.934  0.003  0.655  0.553  0.298  0.392  0.048  0.056
13Sing?Sym  4.979  0.000  0.355  0.365  0.641  0.471  0.003  0.163
14Sing?Sym  5.058  0.000  0.504  0.301  0.473  0.536  0.024  0.163
15Sing?Sym  5.104  0.000  0.498  0.569  0.437  0.356  0.065  0.075
16Sing?Sym  5.171  0.081  0.373  0.431  0.618  0.534  0.013  0.039
17Sing?Sym  5.228  0.012  0.451  0.459  0.462  0.462  0.089  0.083
18Sing?Sym  5.244  0.058  0.556  0.524  0.430  0.425  0.017  0.054
19Sing?Sym  5.312  0.000  0.455  0.319  0.501  0.503  0.045  0.178
20Sing?Sym  5.346  0.047  0.401  0.466  0.564  0.448  0.037  0.088
