state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.542  0.002  1.000  1.737  1.376  0.925  1.275  0.525  1.002  1.007 10.851
2Sing?Sym   2.350  0.000  1.000  1.689  1.448  0.637  1.311  0.622  1.000  1.001 12.402
3Sing?Sym   2.394  0.911  1.023  1.997  1.014  0.007  1.005 -0.000  1.060  1.185  5.200
4Sing?Sym   3.136  0.003  1.000  1.740  1.406  0.909  1.292  0.516  1.094  1.233 11.401
5Sing?Sym   3.143  0.525  1.003  1.707  1.557  0.845  1.541  0.468  1.019  1.069  9.376
6Sing?Sym   3.173  0.000  1.000  2.000  1.001  0.001  1.001 -0.000  1.015  1.047  6.180
7Sing?Sym   3.303  0.000  1.000  2.028  1.134  0.117  1.121 -0.057  1.022  1.067  6.246
8Sing?Sym   3.312  0.000  1.000  1.763  1.582  0.776  1.371  0.472  1.069  1.171 10.073
9Sing?Sym   3.353  0.000  1.002  1.999  1.004  0.004  1.004  0.001  1.199  1.414  4.820
10Sing?Sym  3.427  0.000  1.000  2.000  1.001  0.001  1.001 -0.000  1.025  1.073  6.291
11Sing?Sym  3.438  0.000  1.001  1.981  1.071  0.066  1.068  0.036  1.056  1.164  6.546
12Sing?Sym  3.506  0.000  1.001  1.984  1.107  0.097  1.101 -0.024  1.228  1.461  5.908
13Sing?Sym  3.547  0.001  1.000  1.999  1.004  0.004  1.004 -0.001  1.951  2.005  6.188
14Sing?Sym  3.624  0.005  1.000  1.741  1.401  0.913  1.292  0.509  1.019  1.065 10.146
15Sing?Sym  3.686  0.055  1.002  1.965  1.099  0.090  1.092  0.066  1.423  1.708  5.831
16Sing?Sym  3.698  0.000  1.000  1.997  1.754  0.876  1.433  0.005  1.002  1.010  8.232
17Sing?Sym  3.772  0.019  1.002  1.991  1.022  0.022  1.022  0.013  1.642  1.854  5.801
18Sing?Sym  3.864  0.029  1.001  1.640  1.716  0.611  1.689  0.515  1.057  1.177 10.179
19Sing?Sym  3.887  0.058  1.011  1.950  1.179  0.070  1.062  0.016  2.620  3.333  4.716
20Sing?Sym  3.903  0.000  1.000  2.023  1.075  0.070  1.072 -0.048  1.109  1.233  5.759
