state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.973  0.004  1.000  1.319  1.694  0.614  1.587 -0.294  1.758  1.880  6.319
2Sing?Sym   3.376  0.037  1.007  1.349  1.822  0.663  1.678  0.096  1.596  1.862  6.784
3Sing?Sym   3.415  0.029  1.014  1.139  1.314  0.186  1.248 -0.009  1.514  1.839  4.729
4Sing?Sym   3.562  1.592  1.017  1.559  1.953  0.355  1.807 -0.103  1.528  1.866  4.635
5Sing?Sym   4.041  0.018  1.000  1.270  1.547  0.505  1.414 -0.451  1.312  1.556  7.233
6Sing?Sym   4.076  0.004  1.000  1.065  1.143  0.125  1.129 -0.105  1.624  1.802  4.607
7Sing?Sym   4.222  0.041  1.005  1.604  1.913  0.459  1.903 -0.051  1.159  1.443  4.901
8Sing?Sym   4.287  0.013  1.001  1.193  1.452  0.343  1.481  0.055  2.212  2.444  5.489
9Sing?Sym   4.386  0.001  1.002  1.057  1.120  0.109  1.122 -0.001  1.330  1.626  4.141
10Sing?Sym  4.409  0.003  1.000  1.319  1.521  0.627  1.378 -0.539  1.305  1.554  6.369
11Sing?Sym  4.541  0.006  1.001  1.606  1.909  0.589  1.857 -0.056  1.827  1.973  6.856
12Sing?Sym  4.580  0.000  1.000  1.631  1.740  0.517  1.703 -0.325  1.005  1.021  3.643
13Sing?Sym  4.648  0.000  1.000  1.864  1.310  0.236  1.295  0.094  1.006  1.023  4.122
14Sing?Sym  4.748  0.154  1.009  1.200  1.471  0.384  1.506  0.122  2.236  2.610  5.734
15Sing?Sym  4.814  0.011  1.001  1.302  1.607  0.593  1.480  0.409  1.290  1.548  6.217
16Sing?Sym  4.970  0.002  1.000  1.044  1.091  0.049  1.054  0.009  2.042  2.313  4.299
17Sing?Sym  4.977  0.000  1.000  1.231  1.512  0.437  1.376  0.405  1.005  1.019  6.633
18Sing?Sym  5.050  0.141  1.013  1.517  1.931  0.355  1.793  0.186  2.297  3.010  5.254
19Sing?Sym  5.134  0.000  1.000  1.490  1.137  0.879  1.137  0.871  1.003  1.012  8.584
20Sing?Sym  5.163  0.010  1.001  1.334  1.680  0.609  1.568 -0.353  1.787  2.401  6.466
