state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.738  0.016  1.003  1.411  1.339  0.740  1.299 -0.710  1.015  1.051  7.372
2Sing?Sym   2.139  0.030  1.006  1.850  1.356  0.285  1.288  0.249  1.009  1.035  4.158
3Sing?Sym   2.710  0.116  1.003  1.544  1.784  0.522  1.793 -0.341  1.188  1.416  6.419
4Sing?Sym   2.890  0.088  1.005  1.850  1.348  0.270  1.333  0.132  1.314  1.551  4.680
5Sing?Sym   2.927  0.000  1.000  1.848  1.349  0.253  1.329  0.094  1.013  1.046  5.364
6Sing?Sym   2.933  0.664  1.018  1.151  1.345  0.176  1.240  0.042  1.429  1.865  4.860
7Sing?Sym   3.055  0.000  1.000  1.883  1.269  0.216  1.238  0.155  1.014  1.050  5.176
8Sing?Sym   3.086  0.008  1.001  1.456  1.541  0.652  1.525 -0.545  1.076  1.186  7.279
9Sing?Sym   3.107  0.000  1.001  1.187  1.441  0.331  1.408 -0.193  1.750  1.967  5.439
10Sing?Sym  3.234  0.000  1.000  1.433  1.422  0.684  1.413 -0.640  1.007  1.027  8.857
11Sing?Sym  3.257  0.004  1.000  1.517  1.351  0.837  1.225  0.693  1.418  1.638  7.314
12Sing?Sym  3.388  0.079  1.006  1.659  1.815  0.484  1.829  0.028  1.620  2.045  5.935
13Sing?Sym  3.489  0.000  1.002  1.347  1.589  0.632  1.466 -0.479  1.764  1.998  6.670
14Sing?Sym  3.608  0.000  1.000  1.104  1.231  0.198  1.233  0.083  1.442  1.669  4.114
15Sing?Sym  3.622  0.000  1.000  1.368  1.569  0.570  1.519 -0.509  1.407  1.617  6.871
16Sing?Sym  3.662  0.000  1.000  1.429  1.419  0.686  1.407 -0.643  1.012  1.046  8.887
17Sing?Sym  3.693  0.000  1.000  1.104  1.233  0.172  1.203 -0.086  1.428  1.654  5.506
18Sing?Sym  3.727  0.000  1.001  1.410  1.503  0.678  1.438 -0.574  1.413  1.888  7.073
19Sing?Sym  3.765  0.000  1.004  1.131  1.299  0.246  1.295 -0.120  1.451  1.770  3.802
20Sing?Sym  3.876  0.019  1.010  1.275  1.661  0.424  1.678  0.056  2.968  3.664  5.936
