state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.945  1.368  1.021  1.645  2.365  0.556  2.354  0.030  1.065  1.185  5.483
2Sing?Sym   3.543  0.025  1.004  1.708  2.028  0.536  1.960 -0.048  1.074  1.198  6.532
3Sing?Sym   3.726  0.030  1.005  1.537  2.194  0.578  2.170  0.246  1.094  1.256  6.035
4Sing?Sym   3.783  0.000  1.000  1.792  2.492  0.624  2.484  0.329  1.013  1.048  4.439
5Sing?Sym   3.935  0.011  1.001  1.590  2.272  0.658  2.176  0.046  1.820  1.973  6.868
6Sing?Sym   4.148  0.000  1.001  1.862  2.199  0.564  2.163 -0.228  1.016  1.053  4.399
7Sing?Sym   4.407  0.000  1.000  1.947  2.143  0.590  2.089 -0.433  1.052  1.150  4.237
8Sing?Sym   4.481  0.000  1.017  1.569  2.183  0.382  1.936 -0.077  2.106  2.647  4.471
9Sing?Sym   4.498  0.000  1.000  1.514  2.152  0.536  2.147 -0.038  1.073  1.198  4.942
10Sing?Sym  4.669  0.013  1.002  1.778  1.755  0.460  1.689  0.137  1.488  1.783  6.509
11Sing?Sym  4.813  0.000  1.000  1.361  1.824  0.450  1.717 -0.306  1.119  1.254  5.297
12Sing?Sym  4.934  0.003  1.001  1.449  2.046  0.485  2.012  0.111  2.045  2.206  5.482
13Sing?Sym  4.979  0.000  1.000  1.723  2.239  0.557  2.178  0.150  1.068  1.192  4.765
14Sing?Sym  5.058  0.000  1.000  1.691  2.283  0.585  2.267  0.342  1.093  1.238  4.352
15Sing?Sym  5.104  0.000  1.000  1.537  2.225  0.541  2.216 -0.061  1.163  1.383  4.957
16Sing?Sym  5.171  0.081  1.004  1.626  2.033  0.560  2.026 -0.031  1.557  1.970  7.211
17Sing?Sym  5.228  0.012  1.003  1.632  2.351  0.630  2.270 -0.014  2.550  3.297  6.403
18Sing?Sym  5.244  0.058  1.003  1.497  2.115  0.469  2.065  0.068  1.394  1.893  5.710
19Sing?Sym  5.312  0.000  1.000  1.724  2.382  0.570  2.350  0.269  1.432  1.782  4.837
20Sing?Sym  5.346  0.047  1.002  1.630  2.225  0.579  2.210 -0.013  2.069  2.896  5.938
