state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.737  1.297  1.032  1.704  2.536  0.601  2.506  0.253  1.028  1.084  5.175
2Sing?Sym   3.321  0.062  1.004  1.779  2.271  0.591  2.148  0.152  1.051  1.145  6.081
3Sing?Sym   3.522  0.048  1.005  1.795  2.654  0.691  2.628  0.086  1.092  1.242  5.792
4Sing?Sym   3.769  0.018  1.002  1.677  2.558  0.687  2.475  0.174  1.645  1.854  6.184
5Sing?Sym   4.037  0.000  1.001  1.871  2.045  0.553  1.818  0.056  1.002  1.008  4.369
6Sing?Sym   4.323  0.000  1.000  1.822  2.123  0.714  2.116  0.639  1.008  1.029  4.635
7Sing?Sym   4.364  0.015  1.015  1.574  2.220  0.469  2.096 -0.099  1.845  2.292  4.838
8Sing?Sym   4.556  0.024  1.002  1.797  1.770  0.467  1.643  0.201  1.375  1.696  6.217
9Sing?Sym   4.603  0.000  1.000  1.486  2.089  0.517  2.030 -0.235  1.054  1.135  5.093
10Sing?Sym  4.720  0.007  1.003  1.596  2.266  0.542  2.264  0.265  2.092  2.279  5.247
11Sing?Sym  4.768  0.000  1.000  1.451  1.976  0.502  1.895 -0.185  1.073  1.177  5.133
12Sing?Sym  5.033  0.002  1.004  1.666  2.443  0.626  2.416  0.199  2.052  2.464  5.906
13Sing?Sym  5.118  0.007  1.003  1.725  2.592  0.629  2.586  0.211  1.419  1.822  5.520
14Sing?Sym  5.199  0.047  1.003  1.707  2.491  0.626  2.405 -0.194  2.788  3.247  6.287
15Sing?Sym  5.222  0.047  1.002  1.646  2.378  0.597  2.337 -0.099  1.859  2.404  6.852
16Sing?Sym  5.313  0.000  1.000  1.967  2.094  0.500  2.085  0.174  1.026  1.082  3.119
17Sing?Sym  5.355  0.061  1.005  1.686  2.456  0.607  2.297 -0.317  2.158  2.771  4.894
18Sing?Sym  5.440  0.000  1.000  1.592  2.068  0.550  2.050 -0.083  1.010  1.040  3.331
19Sing?Sym  5.594  0.006  1.002  1.614  2.380  0.629  2.315 -0.005  2.458  2.892  6.459
20Sing?Sym  5.634  0.182  1.006  1.696  2.156  0.438  1.980  0.147  3.073  3.952  4.470
