state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   2.521  1.044  0.638  0.395  0.381  0.624
2Sing?Sym   3.057  0.046  0.453  0.450  0.548  0.551
3Sing?Sym   3.393  0.012  0.420  0.221  0.580  0.780
4Sing?Sym   3.566  0.125  0.482  0.439  0.537  0.579
5Sing?Sym   3.791  0.005  0.452  0.101  0.548  0.900
6Sing?Sym   3.899  0.022  0.377  0.326  0.626  0.678
7Sing?Sym   4.119  0.003  0.283  0.437  0.717  0.563
8Sing?Sym   4.136  0.009  0.464  0.491  0.536  0.509
9Sing?Sym   4.232  0.042  0.468  0.407  0.535  0.595
10Sing?Sym  4.259  0.007  0.511  0.477  0.491  0.525
11Sing?Sym  4.331  0.046  0.597  0.425  0.405  0.577
12Sing?Sym  4.440  0.002  0.798  0.480  0.203  0.521
13Sing?Sym  4.475  0.053  0.330  0.293  0.673  0.710
14Sing?Sym  4.742  0.012  0.480  0.396  0.524  0.608
15Sing?Sym  4.774  0.001  0.512  0.483  0.489  0.518
16Sing?Sym  4.794  0.005  0.447  0.348  0.554  0.653
17Sing?Sym  4.885  0.128  0.321  0.372  0.682  0.631
18Sing?Sym  4.953  0.006  0.656  0.689  0.344  0.311
19Sing?Sym  5.036  0.016  0.607  0.624  0.394  0.377
20Sing?Sym  5.155  0.004  0.194  0.246  0.807  0.754
