state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   0.674  0.001  0.869  0.003  0.132  0.998
2Sing?Sym   1.731  0.039  0.627  0.003  0.374  0.998
3Sing?Sym   2.175  0.791  0.023  0.006  1.009  1.025
4Sing?Sym   2.485  0.007  0.863  0.007  0.138  0.993
5Sing?Sym   2.531  0.398  0.867  0.098  0.137  0.906
6Sing?Sym   2.872  0.000  0.397  0.005  0.603  0.995
7Sing?Sym   2.918  0.000  0.005  0.002  0.995  0.998
8Sing?Sym   2.942  0.000  0.605  0.004  0.395  0.996
9Sing?Sym   3.017  0.006  0.864  0.005  0.136  0.995
10Sing?Sym  3.130  0.000  0.020  0.003  0.980  0.997
11Sing?Sym  3.174  0.000  0.002  0.003  1.001  1.000
12Sing?Sym  3.176  0.000  0.000  0.002  1.000  0.998
13Sing?Sym  3.341  0.016  0.128  0.079  0.873  0.921
14Sing?Sym  3.346  0.001  0.061  0.004  0.939  0.996
15Sing?Sym  3.400  0.000  0.177  0.008  0.823  0.992
16Sing?Sym  3.475  0.033  0.357  0.051  0.644  0.950
17Sing?Sym  3.509  0.018  0.411  0.059  0.590  0.942
18Sing?Sym  3.562  0.006  0.444  0.016  0.557  0.985
19Sing?Sym  3.590  0.060  0.018  0.008  0.985  0.995
20Sing?Sym  3.609  0.027  0.851  0.036  0.150  0.965
