state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   2.565  0.627  0.712  0.178  0.292  0.826
2Sing?Sym   3.110  0.411  0.403  0.516  0.600  0.487
3Sing?Sym   3.414  0.293  0.463  0.418  0.552  0.597
4Sing?Sym   3.486  0.006  0.324  0.134  0.677  0.866
5Sing?Sym   3.723  0.099  0.369  0.499  0.631  0.502
6Sing?Sym   3.806  0.004  0.513  0.470  0.487  0.530
7Sing?Sym   3.851  0.040  0.678  0.795  0.323  0.206
8Sing?Sym   3.905  0.022  0.533  0.247  0.469  0.755
9Sing?Sym   4.004  0.008  0.623  0.241  0.376  0.759
10Sing?Sym  4.170  0.007  0.453  0.129  0.548  0.871
11Sing?Sym  4.176  0.004  0.639  0.550  0.363  0.453
12Sing?Sym  4.328  0.012  0.730  0.189  0.270  0.811
13Sing?Sym  4.375  0.027  0.395  0.218  0.606  0.782
14Sing?Sym  4.429  0.120  0.543  0.302  0.461  0.702
15Sing?Sym  4.454  0.025  0.611  0.299  0.392  0.704
16Sing?Sym  4.576  0.006  0.672  0.550  0.328  0.449
17Sing?Sym  4.583  0.022  0.559  0.631  0.442  0.371
18Sing?Sym  4.609  0.010  0.684  0.528  0.316  0.472
19Sing?Sym  4.688  0.011  0.588  0.553  0.412  0.447
20Sing?Sym  4.728  0.018  0.313  0.668  0.687  0.332
