state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.727  0.000  0.671  0.001  0.019  0.998  0.310  0.001
2Sing?Sym   2.300  0.003  0.252  0.001  0.141  0.998  0.607  0.001
3Sing?Sym   2.393  0.954  0.003  0.004  1.017  1.016  0.003  0.003
4Sing?Sym   2.503  0.000  0.631  0.001  0.356  0.998  0.013  0.001
5Sing?Sym   3.126  0.000  0.636  0.085  0.020  0.745  0.343  0.169
6Sing?Sym   3.167  0.000  0.000  0.001  1.000  0.999  0.000  0.000
7Sing?Sym   3.293  0.000  0.533  0.002  0.189  0.996  0.277  0.002
8Sing?Sym   3.331  0.000  0.184  0.002  0.675  0.995  0.141  0.003
9Sing?Sym   3.352  0.000  0.001  0.001  1.001  1.000  0.000  0.001
10Sing?Sym  3.403  0.000  0.601  0.002  0.094  0.997  0.305  0.001
11Sing?Sym  3.421  0.000  0.000  0.001  1.000  0.999  0.000  0.000
12Sing?Sym  3.425  0.000  0.001  0.001  0.998  0.997  0.001  0.002
13Sing?Sym  3.485  0.001  0.002  0.020  0.993  0.918  0.006  0.062
14Sing?Sym  3.549  0.000  0.001  0.003  0.998  0.996  0.001  0.001
15Sing?Sym  3.643  0.005  0.299  0.555  0.112  0.097  0.589  0.349
16Sing?Sym  3.667  0.047  0.013  0.003  0.963  0.997  0.026  0.002
17Sing?Sym  3.676  0.396  0.550  0.517  0.067  0.186  0.393  0.308
18Sing?Sym  3.769  0.022  0.001  0.002  0.998  0.998  0.002  0.002
19Sing?Sym  3.824  0.000  0.675  0.005  0.018  0.993  0.306  0.002
20Sing?Sym  3.860  1.223  0.337  0.134  0.128  0.761  0.539  0.109
