state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.516  0.001  1.001  1.710  1.341  0.916  1.256  0.580  1.001  1.005 11.348
2Sing?Sym   2.163  1.292  1.029  1.971  1.098  0.050  1.046  0.021  1.193  1.420  5.438
3Sing?Sym   2.270  0.002  1.000  1.743  1.462  0.859  1.317  0.513  1.321  1.519 11.772
4Sing?Sym   2.307  0.357  1.007  1.694  1.542  0.804  1.519  0.508  1.125  1.285 10.082
5Sing?Sym   2.342  0.002  1.000  1.712  1.359  0.904  1.269  0.573  1.323  1.516 11.413
6Sing?Sym   2.616  0.000  1.000  1.668  1.406  0.668  1.290  0.662  1.000  1.002 12.234
7Sing?Sym   2.788  0.000  1.000  1.578  1.180  0.843  1.153  0.843  1.000  1.001 13.627
8Sing?Sym   2.827  0.008  1.000  1.711  1.352  0.911  1.266  0.570  1.004  1.018 10.729
9Sing?Sym   2.927  0.000  1.000  2.000  1.002  0.002  1.002 -0.001  1.015  1.047  6.334
10Sing?Sym  2.954  0.000  1.000  2.045  1.111  0.101  1.102 -0.091  1.016  1.050  6.338
11Sing?Sym  3.051  0.000  1.000  1.986  1.731  0.887  1.425  0.026  1.000  1.001  8.407
12Sing?Sym  3.142  0.493  1.016  1.470  1.970  0.515  1.925  0.065  1.134  1.381  7.826
13Sing?Sym  3.150  0.001  1.001  1.996  1.014  0.011  1.011  0.005  1.033  1.105  5.806
14Sing?Sym  3.188  0.000  1.002  1.999  1.003  0.003  1.003 -0.000  1.106  1.261  5.603
15Sing?Sym  3.189  0.000  1.000  2.000  1.001  0.001  1.001 -0.000  1.025  1.078  6.438
16Sing?Sym  3.349  0.001  1.001  1.981  1.103  0.093  1.097 -0.033  1.400  1.663  6.015
17Sing?Sym  3.379  0.001  1.000  1.997  1.010  0.010  1.010  0.004  1.978  2.077  6.189
18Sing?Sym  3.428  0.011  1.000  1.701  1.373  0.896  1.296  0.560  1.023  1.078 11.718
19Sing?Sym  3.534  0.020  1.002  1.949  1.169  0.147  1.155  0.088  1.601  1.934  6.346
20Sing?Sym  3.600  0.051  1.003  1.998  1.009  0.009  1.009 -0.001  1.487  1.769  5.382
