state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   0.398  0.001  0.891  0.003  0.112  1.000
2Sing?Sym   2.123  0.661  0.139  0.006  0.885  1.017
3Sing?Sym   2.200  0.005  0.887  0.006  0.114  0.994
4Sing?Sym   2.260  0.664  0.601  0.060  0.406  0.946
5Sing?Sym   2.309  0.117  0.706  0.053  0.299  0.952
6Sing?Sym   2.489  0.000  0.963  0.003  0.037  0.997
7Sing?Sym   2.603  0.000  0.819  0.003  0.181  0.997
8Sing?Sym   2.736  0.006  0.886  0.005  0.114  0.995
9Sing?Sym   2.925  0.000  0.087  0.004  0.913  0.996
10Sing?Sym  2.931  0.000  0.059  0.003  0.940  0.997
11Sing?Sym  3.148  0.001  0.018  0.003  0.983  0.997
12Sing?Sym  3.181  0.000  0.001  0.002  1.001  1.000
13Sing?Sym  3.189  0.000  0.000  0.002  1.000  0.998
14Sing?Sym  3.296  0.201  0.872  0.301  0.136  0.707
15Sing?Sym  3.345  0.014  0.205  0.021  0.795  0.979
16Sing?Sym  3.362  0.117  0.764  0.167  0.239  0.837
17Sing?Sym  3.377  0.000  0.063  0.049  0.937  0.951
18Sing?Sym  3.382  0.003  0.065  0.030  0.935  0.970
19Sing?Sym  3.541  0.032  0.080  0.011  0.922  0.991
20Sing?Sym  3.593  0.047  0.026  0.007  0.976  0.996
