state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.908  1.236  0.739  0.215  0.035  0.256  0.230  0.532
2Sing?Sym   3.497  0.558  0.690  0.473  0.063  0.181  0.252  0.350
3Sing?Sym   3.791  0.266  0.258  0.244  0.414  0.268  0.336  0.496
4Sing?Sym   4.002  0.029  0.016  0.112  0.933  0.370  0.053  0.520
5Sing?Sym   4.078  0.004  0.655  0.110  0.030  0.039  0.315  0.852
6Sing?Sym   4.217  0.024  0.684  0.546  0.079  0.121  0.237  0.334
7Sing?Sym   4.297  0.003  0.476  0.077  0.126  0.251  0.397  0.672
8Sing?Sym   4.343  0.117  0.254  0.429  0.352  0.189  0.394  0.383
9Sing?Sym   4.485  0.004  0.550  0.412  0.100  0.144  0.351  0.445
10Sing?Sym  4.518  0.011  0.708  0.459  0.009  0.103  0.283  0.439
11Sing?Sym  4.560  0.003  0.363  0.123  0.175  0.433  0.463  0.445
12Sing?Sym  4.587  0.006  0.451  0.268  0.180  0.262  0.373  0.474
13Sing?Sym  4.627  0.002  0.060  0.065  0.815  0.429  0.124  0.506
14Sing?Sym  4.639  0.002  0.523  0.187  0.188  0.461  0.289  0.352
15Sing?Sym  4.651  0.005  0.685  0.280  0.104  0.331  0.211  0.389
16Sing?Sym  4.721  0.019  0.367  0.262  0.091  0.189  0.544  0.550
17Sing?Sym  4.740  0.022  0.189  0.417  0.721  0.307  0.091  0.276
18Sing?Sym  4.954  0.004  0.684  0.371  0.078  0.299  0.237  0.329
19Sing?Sym  5.034  0.003  0.525  0.086  0.144  0.629  0.331  0.285
20Sing?Sym  5.036  0.012  0.475  0.376  0.113  0.306  0.413  0.319
