state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.309  0.000  0.788  0.000  0.003  0.998  0.209  0.002
2Sing?Sym   2.087  0.000  0.430  0.000  0.022  0.998  0.549  0.002
3Sing?Sym   2.396  1.210  0.011  0.008  1.000  1.000  0.010  0.013
4Sing?Sym   2.767  0.000  0.665  0.000  0.038  0.998  0.298  0.002
5Sing?Sym   2.796  1.683  0.799  0.536  0.021  0.032  0.186  0.437
6Sing?Sym   2.899  0.000  0.787  0.000  0.003  0.996  0.210  0.004
7Sing?Sym   3.021  0.003  0.785  0.002  0.003  0.960  0.212  0.038
8Sing?Sym   3.080  0.000  0.972  0.000  0.001  0.999  0.027  0.001
9Sing?Sym   3.154  0.000  0.609  0.000  0.327  0.998  0.064  0.002
10Sing?Sym  3.181  0.000  0.481  0.000  0.463  0.997  0.057  0.003
11Sing?Sym  3.196  0.000  0.857  0.000  0.097  0.998  0.046  0.002
12Sing?Sym  3.215  0.000  0.000  0.000  0.999  0.999  0.000  0.001
13Sing?Sym  3.237  0.000  0.000  0.000  0.253  0.998  0.747  0.002
14Sing?Sym  3.368  0.000  0.000  0.000  0.999  1.000  0.003  0.002
15Sing?Sym  3.380  0.000  0.792  0.000  0.003  0.996  0.206  0.004
16Sing?Sym  3.425  0.000  0.065  0.000  0.000  0.998  0.934  0.002
17Sing?Sym  3.453  0.000  0.000  0.000  0.978  0.999  0.022  0.001
18Sing?Sym  3.458  0.234  0.727  0.621  0.005  0.019  0.269  0.361
19Sing?Sym  3.472  0.000  0.000  0.000  1.000  0.999  0.000  0.001
20Sing?Sym  3.551  0.000  0.000  0.000  0.994  0.997  0.005  0.003
