state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   3.333  1.311  0.512  0.405  0.423  0.499  0.078  0.109
2Sing?Sym   3.842  0.029  0.276  0.378  0.725  0.519  0.002  0.107
3Sing?Sym   3.923  0.035  0.644  0.421  0.352  0.473  0.009  0.111
4Sing?Sym   4.249  0.002  0.430  0.448  0.517  0.464  0.054  0.089
5Sing?Sym   4.367  0.000  0.501  0.264  0.409  0.514  0.091  0.222
6Sing?Sym   4.480  0.000  0.174  0.306  0.776  0.574  0.051  0.121
7Sing?Sym   4.720  0.001  0.466  0.492  0.499  0.478  0.047  0.042
8Sing?Sym   4.722  0.000  0.072  0.371  0.576  0.497  0.352  0.133
9Sing?Sym   4.836  0.000  0.571  0.537  0.364  0.442  0.065  0.021
10Sing?Sym  4.855  0.008  0.380  0.207  0.559  0.787  0.063  0.008
11Sing?Sym  5.108  0.000  0.595  0.803  0.349  0.183  0.056  0.014
12Sing?Sym  5.163  0.001  0.696  0.516  0.267  0.414  0.038  0.071
13Sing?Sym  5.272  0.075  0.572  0.550  0.419  0.414  0.012  0.039
14Sing?Sym  5.276  0.000  0.482  0.409  0.509  0.486  0.009  0.104
15Sing?Sym  5.283  0.000  0.466  0.437  0.529  0.471  0.005  0.092
16Sing?Sym  5.298  0.069  0.433  0.423  0.558  0.555  0.012  0.025
17Sing?Sym  5.371  0.000  0.529  0.549  0.412  0.371  0.059  0.080
18Sing?Sym  5.445  0.036  0.474  0.335  0.480  0.601  0.049  0.066
19Sing?Sym  5.532  0.000  0.662  0.687  0.328  0.239  0.010  0.074
20Sing?Sym  5.555  0.013  0.473  0.479  0.479  0.464  0.049  0.059
