state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.858  1.465  1.019  1.577  2.354  0.562  2.277  0.306  1.028  1.092  5.504
2Sing?Sym   3.650  0.011  1.002  1.744  2.258  0.653  2.124  0.040  1.156  1.351  6.928
3Sing?Sym   3.706  0.003  1.001  1.626  2.416  0.678  2.353  0.059  1.837  1.980  7.204
4Sing?Sym   4.132  0.022  1.015  1.560  2.282  0.379  1.812 -0.085  2.085  2.393  4.553
5Sing?Sym   4.323  0.000  1.000  1.863  2.090  0.572  1.867  0.013  1.004  1.018  4.694
6Sing?Sym   4.334  0.057  1.004  1.650  2.256  0.590  2.131  0.195  1.106  1.294  5.613
7Sing?Sym   4.391  0.000  1.000  1.521  1.865  0.524  1.834  0.399  1.015  1.053  4.689
8Sing?Sym   4.448  0.013  1.003  1.599  2.149  0.561  2.011  0.205  1.128  1.322  5.657
9Sing?Sym   4.542  0.011  1.001  1.726  1.768  0.562  1.651  0.317  1.255  1.496  7.510
10Sing?Sym  4.653  0.036  1.001  1.558  2.243  0.522  2.208  0.240  2.038  2.175  6.106
11Sing?Sym  4.668  0.000  1.000  1.526  2.173  0.535  2.167 -0.105  1.015  1.050  5.812
12Sing?Sym  4.975  0.022  1.003  1.577  2.323  0.769  1.938  0.012  3.012  3.174  8.279
13Sing?Sym  5.043  0.026  1.001  1.587  2.108  0.601  2.066 -0.059  1.459  1.839  8.209
14Sing?Sym  5.144  0.018  1.009  1.621  2.338  0.408  2.039 -0.022  2.721  3.550  4.820
15Sing?Sym  5.199  0.032  1.002  1.376  1.848  0.432  1.759 -0.110  1.540  2.036  6.016
16Sing?Sym  5.257  0.000  1.000  1.416  1.716  0.414  1.612  0.195  1.130  1.279  4.565
17Sing?Sym  5.380  0.009  1.002  1.668  2.356  0.596  2.327  0.107  1.768  2.477  5.821
18Sing?Sym  5.393  0.000  1.000  1.548  1.952  0.518  1.949 -0.165  1.009  1.036  2.952
19Sing?Sym  5.566  0.035  1.001  1.716  2.363  0.500  2.221  0.023  4.108  4.603  6.258
20Sing?Sym  5.586  0.058  1.001  1.537  2.175  0.521  2.134 -0.060  2.617  3.209  5.689
