state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.763  0.001  0.696  0.001  0.094  0.999  0.211  0.000
2Sing?Sym   1.977  0.000  0.617  0.001  0.369  0.999  0.014  0.000
3Sing?Sym   2.172  0.972  0.010  0.007  1.018  1.022  0.004  0.002
4Sing?Sym   2.542  0.530  0.701  0.085  0.097  0.882  0.207  0.037
5Sing?Sym   2.585  0.003  0.693  0.003  0.099  0.996  0.208  0.001
6Sing?Sym   2.791  0.000  0.735  0.001  0.108  0.998  0.157  0.000
7Sing?Sym   2.916  0.000  0.000  0.001  1.000  0.999  0.000  0.000
8Sing?Sym   2.948  0.000  0.079  0.002  0.757  0.997  0.164  0.001
9Sing?Sym   3.030  0.000  0.379  0.001  0.255  0.998  0.365  0.001
10Sing?Sym  3.077  0.007  0.690  0.004  0.097  0.995  0.213  0.000
11Sing?Sym  3.147  0.001  0.015  0.002  0.982  0.998  0.004  0.001
12Sing?Sym  3.176  0.000  0.000  0.001  1.000  0.999  0.000  0.000
13Sing?Sym  3.180  0.000  0.001  0.001  1.001  1.000  0.000  0.001
14Sing?Sym  3.340  0.001  0.004  0.057  0.996  0.918  0.001  0.026
15Sing?Sym  3.379  0.001  0.001  0.002  0.999  0.998  0.000  0.000
16Sing?Sym  3.510  0.005  0.557  0.004  0.425  0.995  0.018  0.002
17Sing?Sym  3.539  0.410  0.653  0.349  0.152  0.593  0.204  0.068
18Sing?Sym  3.591  0.029  0.208  0.007  0.776  0.993  0.018  0.002
19Sing?Sym  3.594  0.045  0.004  0.005  0.998  0.997  0.001  0.002
20Sing?Sym  3.622  0.011  0.626  0.129  0.354  0.832  0.022  0.040
