state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.936  1.324  1.009  1.683  2.316  0.615  2.117  0.560  1.025  1.090  6.723
2Sing?Sym   3.720  0.187  1.002  1.654  2.396  0.657  2.483  0.111  1.859  1.977  7.915
3Sing?Sym   3.918  0.016  1.002  2.020  2.082  0.645  1.680  0.020  1.166  1.394  6.635
4Sing?Sym   4.009  0.059  1.010  1.872  2.788  0.546  2.499  0.245  2.025  2.290  5.294
5Sing?Sym   4.130  0.006  1.002  1.989  2.516  0.689  2.418  0.596  1.635  1.897  5.339
6Sing?Sym   4.422  0.014  1.001  1.791  2.340  0.577  2.246  0.161  1.616  1.884  6.149
7Sing?Sym   4.480  0.013  1.000  1.588  1.961  0.490  1.814  0.405  1.814  2.048  5.730
8Sing?Sym   4.559  0.002  1.001  1.591  2.167  0.565  1.917  0.509  1.568  1.875  7.342
9Sing?Sym   4.570  0.002  1.000  1.817  2.182  0.742  1.989  0.258  1.770  2.221  8.808
10Sing?Sym  4.579  0.000  1.000  2.100  2.071  0.587  1.761  0.079  1.061  1.164  4.641
11Sing?Sym  4.643  0.000  1.000  1.669  2.413  0.572  2.270  0.198  2.136  2.392  7.147
12Sing?Sym  4.702  0.035  1.002  2.037  2.854  0.734  2.709  0.136  2.563  2.870  6.267
13Sing?Sym  4.781  0.083  1.000  1.807  2.736  0.796  2.285 -0.127  1.665  2.064  9.255
14Sing?Sym  4.911  0.022  1.002  1.786  2.521  0.671  2.438  0.009  2.742  3.361  8.351
15Sing?Sym  4.934  0.003  1.000  1.939  2.181  0.770  2.071  0.551  1.169  1.377  7.957
16Sing?Sym  4.959  0.023  1.005  1.760  2.689  0.583  2.626  0.030  3.219  3.747  7.097
17Sing?Sym  5.185  0.004  1.001  1.409  1.741  0.379  1.589  0.011  1.653  2.165  6.207
18Sing?Sym  5.285  0.003  1.002  2.147  2.499  0.629  2.447  0.211  1.837  2.519  6.582
19Sing?Sym  5.326  0.022  1.000  1.625  2.070  0.462  1.896 -0.030  2.293  2.734  5.205
20Sing?Sym  5.355  0.064  1.001  1.653  2.304  0.466  1.959  0.150  2.675  3.358  5.514
