state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.506  0.001  0.526  0.000  0.097  1.000  0.379  0.002
2Sing?Sym   1.984  0.001  0.612  0.000  0.344  0.998  0.044  0.002
3Sing?Sym   2.144  1.481  0.054  0.026  0.935  0.981  0.038  0.020
4Sing?Sym   2.277  0.059  0.589  0.006  0.099  0.988  0.313  0.008
5Sing?Sym   2.306  0.292  0.527  0.048  0.156  0.911  0.325  0.050
6Sing?Sym   2.338  0.122  0.544  0.016  0.101  0.967  0.358  0.018
7Sing?Sym   2.832  0.007  0.522  0.000  0.099  0.995  0.380  0.004
8Sing?Sym   2.927  0.000  0.000  0.000  1.000  0.999  0.000  0.001
9Sing?Sym   2.999  0.000  0.001  0.001  0.875  0.995  0.124  0.004
10Sing?Sym  3.139  0.432  0.310  0.232  0.490  0.659  0.212  0.121
11Sing?Sym  3.148  0.262  0.218  0.164  0.644  0.761  0.147  0.084
12Sing?Sym  3.184  0.000  0.001  0.001  1.001  0.999  0.001  0.002
13Sing?Sym  3.189  0.000  0.000  0.000  1.000  0.999  0.000  0.001
14Sing?Sym  3.312  0.001  0.005  0.072  0.991  0.861  0.005  0.067
15Sing?Sym  3.370  0.001  0.004  0.003  0.992  0.992  0.004  0.005
16Sing?Sym  3.432  0.000  0.001  0.002  0.837  0.993  0.161  0.006
17Sing?Sym  3.433  0.015  0.524  0.014  0.103  0.977  0.373  0.009
18Sing?Sym  3.452  0.003  0.596  0.002  0.293  0.995  0.112  0.004
19Sing?Sym  3.538  0.007  0.622  0.204  0.346  0.652  0.034  0.146
20Sing?Sym  3.556  0.024  0.197  0.005  0.783  0.990  0.022  0.007
