state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.498  1.507  0.542  0.319  0.265  0.454  0.204  0.238
2Sing?Sym   2.907  0.064  0.367  0.373  0.446  0.397  0.187  0.230
3Sing?Sym   3.284  0.128  0.473  0.433  0.384  0.366  0.163  0.221
4Sing?Sym   3.443  0.002  0.199  0.076  0.661  0.822  0.140  0.102
5Sing?Sym   3.648  0.134  0.271  0.282  0.579  0.552  0.153  0.169
6Sing?Sym   3.851  0.004  0.433  0.331  0.379  0.526  0.189  0.144
7Sing?Sym   3.868  0.025  0.377  0.136  0.436  0.599  0.189  0.268
8Sing?Sym   3.956  0.023  0.433  0.130  0.360  0.606  0.208  0.265
9Sing?Sym   4.042  0.004  0.413  0.255  0.344  0.479  0.243  0.266
10Sing?Sym  4.135  0.001  0.719  0.635  0.109  0.014  0.172  0.350
11Sing?Sym  4.175  0.002  0.067  0.177  0.902  0.627  0.032  0.196
12Sing?Sym  4.205  0.065  0.201  0.354  0.692  0.470  0.110  0.180
13Sing?Sym  4.334  0.004  0.406  0.358  0.253  0.394  0.344  0.251
14Sing?Sym  4.414  0.053  0.482  0.355  0.314  0.411  0.207  0.238
15Sing?Sym  4.476  0.011  0.644  0.423  0.223  0.350  0.134  0.228
16Sing?Sym  4.506  0.018  0.390  0.252  0.417  0.601  0.193  0.148
17Sing?Sym  4.551  0.059  0.310  0.184  0.528  0.591  0.166  0.229
18Sing?Sym  4.573  0.007  0.381  0.195  0.422  0.573  0.197  0.232
19Sing?Sym  4.602  0.023  0.288  0.354  0.243  0.354  0.470  0.294
20Sing?Sym  4.642  0.046  0.299  0.222  0.560  0.524  0.143  0.256
