state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.069  0.924  1.024  1.419  1.944  0.476  1.940 -0.055  1.039  1.128  4.596
2Sing?Sym   3.613  0.005  1.004  1.668  1.556  0.581  1.455 -0.507  1.092  1.234  5.161
3Sing?Sym   3.855  0.051  1.006  1.403  1.927  0.481  1.927 -0.016  1.064  1.201  4.694
4Sing?Sym   3.984  0.000  1.000  1.530  1.872  0.522  1.874  0.256  1.010  1.036  4.138
5Sing?Sym   4.261  0.015  1.001  1.373  1.878  0.533  1.877 -0.025  1.745  1.935  5.575
6Sing?Sym   4.334  0.000  1.001  1.665  1.574  0.565  1.483 -0.489  1.006  1.024  3.705
7Sing?Sym   4.657  0.032  1.004  1.717  1.597  0.517  1.499  0.382  1.320  1.632  5.182
8Sing?Sym   4.750  0.000  1.000  1.212  1.498  0.347  1.433 -0.228  1.020  1.061  4.671
9Sing?Sym   4.796  0.011  1.011  1.347  1.791  0.372  1.689 -0.188  1.974  2.462  4.326
10Sing?Sym  4.930  0.000  1.000  1.766  1.554  0.355  1.507 -0.169  1.060  1.166  3.905
11Sing?Sym  5.088  0.000  1.000  1.616  1.894  0.445  1.877  0.049  1.143  1.329  3.732
12Sing?Sym  5.099  0.004  1.002  1.482  1.937  0.456  1.924  0.177  2.241  2.538  4.513
13Sing?Sym  5.307  0.000  1.000  1.528  1.882  0.498  1.886  0.245  1.412  1.676  3.873
14Sing?Sym  5.395  0.005  1.005  1.480  1.995  0.474  1.990 -0.028  2.088  2.596  4.662
15Sing?Sym  5.473  0.003  1.003  1.621  1.732  0.578  1.671 -0.346  1.886  2.451  4.841
16Sing?Sym  5.561  0.050  1.002  1.577  1.756  0.618  1.682 -0.355  1.446  1.877  5.729
17Sing?Sym  5.628  0.000  1.000  1.327  1.787  0.394  1.744 -0.011  1.893  2.027  3.845
18Sing?Sym  5.664  0.000  1.000  1.286  1.686  0.359  1.625 -0.084  2.359  2.607  3.938
19Sing?Sym  5.682  0.011  1.002  1.398  1.839  0.443  1.806 -0.232  1.555  2.137  4.573
20Sing?Sym  5.743  0.000  1.000  1.500  1.913  0.549  1.900  0.214  1.666  2.076  4.861
