state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.970  0.000  0.658  0.000  0.064  0.998  0.278  0.002
2Sing?Sym   2.115  0.006  0.566  0.000  0.024  0.998  0.410  0.002
3Sing?Sym   2.175  0.946  0.009  0.004  1.015  1.022  0.007  0.005
4Sing?Sym   2.514  0.002  0.374  0.000  0.366  0.998  0.261  0.003
5Sing?Sym   2.581  0.002  0.117  0.000  0.232  0.997  0.651  0.003
6Sing?Sym   2.723  0.308  0.656  0.045  0.068  0.888  0.278  0.069
7Sing?Sym   2.765  0.001  0.655  0.000  0.069  0.995  0.276  0.005
8Sing?Sym   2.898  0.000  0.065  0.000  0.809  0.996  0.126  0.004
9Sing?Sym   2.937  0.000  0.000  0.000  0.999  0.999  0.000  0.001
10Sing?Sym  3.154  0.001  0.006  0.000  0.991  0.998  0.004  0.002
11Sing?Sym  3.196  0.000  0.001  0.000  1.000  1.000  0.001  0.002
12Sing?Sym  3.201  0.000  0.000  0.000  1.000  0.999  0.000  0.001
13Sing?Sym  3.296  0.003  0.655  0.000  0.068  0.995  0.277  0.004
14Sing?Sym  3.365  0.001  0.001  0.020  0.997  0.944  0.002  0.037
15Sing?Sym  3.366  0.000  0.001  0.003  0.996  0.991  0.003  0.007
16Sing?Sym  3.456  0.789  0.656  0.512  0.088  0.213  0.269  0.288
17Sing?Sym  3.493  0.009  0.304  0.002  0.565  0.993  0.133  0.006
18Sing?Sym  3.538  0.002  0.010  0.002  0.837  0.991  0.153  0.007
19Sing?Sym  3.604  0.027  0.023  0.003  0.970  0.994  0.010  0.005
20Sing?Sym  3.615  0.037  0.377  0.000  0.511  0.998  0.113  0.003
