state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.444  0.002  1.000  1.760  1.417  0.920  1.297  0.484  1.002  1.007 10.573
2Sing?Sym   2.311  0.003  1.000  1.694  1.455  0.622  1.315  0.615  1.000  1.001 12.110
3Sing?Sym   2.386  0.935  1.022  1.996  1.021  0.011  1.009  0.004  1.066  1.199  5.233
4Sing?Sym   3.026  0.011  1.000  1.761  1.438  0.909  1.311  0.484  1.068  1.177 11.089
5Sing?Sym   3.065  0.570  1.004  1.716  1.629  0.824  1.627  0.423  1.023  1.077  9.117
6Sing?Sym   3.186  0.000  1.000  2.000  1.001  0.001  1.001  0.001  1.015  1.046  6.186
7Sing?Sym   3.222  0.001  1.000  1.746  1.492  0.834  1.333  0.512  1.056  1.142 10.118
8Sing?Sym   3.343  0.000  1.000  2.025  1.123  0.108  1.112 -0.043  1.018  1.053  6.143
9Sing?Sym   3.350  0.000  1.002  2.001  1.006  0.006  1.006  0.001  1.203  1.418  4.768
10Sing?Sym  3.441  0.000  1.000  1.999  1.005  0.005  1.005  0.002  1.033  1.103  6.290
11Sing?Sym  3.442  0.000  1.001  1.994  1.028  0.027  1.027  0.013  1.060  1.175  6.284
12Sing?Sym  3.499  0.000  1.001  1.977  1.139  0.121  1.127 -0.040  1.225  1.454  6.039
13Sing?Sym  3.537  0.001  1.000  1.999  1.014  0.013  1.012  0.004  1.923  2.018  6.213
14Sing?Sym  3.539  0.004  1.000  1.766  1.442  0.910  1.313  0.476  1.020  1.061  9.966
15Sing?Sym  3.626  0.000  1.000  2.024  1.169  0.143  1.149 -0.043  1.036  1.098  6.115
16Sing?Sym  3.677  0.052  1.002  1.966  1.103  0.093  1.095  0.071  1.376  1.662  5.859
17Sing?Sym  3.774  0.021  1.001  1.983  1.044  0.041  1.042  0.034  1.611  1.845  6.093
18Sing?Sym  3.782  0.050  1.002  1.626  1.959  0.599  1.928  0.418  1.252  1.533  9.124
19Sing?Sym  3.835  0.230  1.008  1.758  2.032  0.382  1.678  0.191  3.131  3.708  7.523
20Sing?Sym  3.851  0.035  1.001  1.695  1.532  0.643  1.403  0.568  1.537  2.059 11.068
