state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.688  0.000  0.760  0.000  0.034  0.998  0.206  0.002
2Sing?Sym   2.173  1.063  0.015  0.009  1.007  1.014  0.009  0.008
3Sing?Sym   2.211  0.001  0.460  0.000  0.190  0.998  0.349  0.002
4Sing?Sym   2.450  0.213  0.748  0.042  0.045  0.896  0.208  0.064
5Sing?Sym   2.476  0.001  0.756  0.000  0.036  0.995  0.208  0.005
6Sing?Sym   2.518  0.000  0.070  0.000  0.284  0.997  0.646  0.003
7Sing?Sym   2.763  0.000  0.642  0.000  0.036  0.998  0.322  0.002
8Sing?Sym   2.859  0.000  0.064  0.000  0.842  0.996  0.094  0.004
9Sing?Sym   2.921  0.000  0.782  0.000  0.008  0.998  0.210  0.002
10Sing?Sym  2.943  0.000  0.000  0.000  1.000  0.999  0.000  0.001
11Sing?Sym  3.007  0.012  0.761  0.005  0.035  0.989  0.205  0.006
12Sing?Sym  3.053  0.810  0.771  0.621  0.048  0.144  0.198  0.253
13Sing?Sym  3.150  0.000  0.025  0.000  0.960  0.999  0.015  0.002
14Sing?Sym  3.200  0.000  0.007  0.000  0.988  1.000  0.007  0.002
15Sing?Sym  3.208  0.000  0.000  0.000  1.000  0.999  0.000  0.001
16Sing?Sym  3.295  0.000  0.385  0.000  0.366  0.997  0.250  0.003
17Sing?Sym  3.368  0.000  0.000  0.000  0.998  0.997  0.002  0.003
18Sing?Sym  3.375  0.000  0.002  0.018  0.995  0.943  0.003  0.039
19Sing?Sym  3.519  0.000  0.007  0.001  0.844  0.992  0.149  0.007
20Sing?Sym  3.586  0.027  0.079  0.003  0.889  0.993  0.034  0.007
