state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.403  1.882  0.590  0.438  0.227  0.378  0.193  0.193
2Sing?Sym   2.874  0.076  0.427  0.348  0.407  0.517  0.166  0.136
3Sing?Sym   3.142  0.123  0.416  0.460  0.482  0.377  0.113  0.173
4Sing?Sym   3.447  0.003  0.426  0.341  0.422  0.549  0.152  0.111
5Sing?Sym   3.577  0.006  0.474  0.366  0.365  0.504  0.161  0.129
6Sing?Sym   3.613  0.154  0.283  0.240  0.620  0.671  0.100  0.092
7Sing?Sym   3.800  0.028  0.622  0.710  0.226  0.199  0.155  0.094
8Sing?Sym   3.830  0.018  0.389  0.281  0.460  0.567  0.153  0.153
9Sing?Sym   3.894  0.003  0.591  0.528  0.214  0.237  0.198  0.238
10Sing?Sym  3.944  0.003  0.551  0.357  0.257  0.308  0.196  0.339
11Sing?Sym  4.043  0.002  0.357  0.092  0.457  0.642  0.186  0.266
12Sing?Sym  4.112  0.014  0.170  0.385  0.737  0.455  0.094  0.160
13Sing?Sym  4.287  0.010  0.498  0.340  0.382  0.546  0.121  0.114
14Sing?Sym  4.306  0.013  0.311  0.421  0.559  0.435  0.130  0.144
15Sing?Sym  4.329  0.044  0.613  0.496  0.268  0.334  0.120  0.171
16Sing?Sym  4.356  0.030  0.452  0.493  0.445  0.347  0.104  0.160
17Sing?Sym  4.384  0.002  0.668  0.520  0.229  0.280  0.105  0.201
18Sing?Sym  4.397  0.002  0.629  0.678  0.143  0.041  0.228  0.281
19Sing?Sym  4.425  0.059  0.584  0.413  0.152  0.373  0.265  0.216
20Sing?Sym  4.436  0.013  0.844  0.569  0.099  0.243  0.057  0.189
