state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.656  0.001  1.001  1.785  1.497  0.891  1.334  0.433  1.002  1.006 10.425
2Sing?Sym   1.922  0.001  1.000  1.698  1.464  0.620  1.319  0.607  1.000  1.002 12.155
3Sing?Sym   2.161  1.022  1.031  1.993  1.036  0.018  1.014  0.004  1.091  1.246  5.285
4Sing?Sym   2.455  0.243  1.003  1.767  1.554  0.861  1.441  0.417  1.028  1.085 10.342
5Sing?Sym   2.489  0.355  1.004  1.761  1.593  0.845  1.504  0.404  1.036  1.105  9.991
6Sing?Sym   2.692  0.002  1.000  1.696  1.334  0.900  1.253  0.611  1.027  1.077 10.608
7Sing?Sym   2.928  0.000  1.000  2.000  1.001  0.001  1.001  0.001  1.013  1.040  6.352
8Sing?Sym   2.984  0.005  1.000  1.789  1.509  0.888  1.343  0.430  1.007  1.028  9.812
9Sing?Sym   2.992  0.000  1.000  2.032  1.152  0.130  1.134 -0.059  1.012  1.038  6.433
10Sing?Sym  3.149  0.002  1.001  1.995  1.021  0.020  1.020  0.009  1.044  1.128  5.631
11Sing?Sym  3.184  0.000  1.002  2.001  1.003  0.003  1.003  0.001  1.094  1.238  5.850
12Sing?Sym  3.189  0.000  1.000  2.000  1.001  0.001  1.001  0.001  1.020  1.060  6.473
13Sing?Sym  3.332  0.002  1.001  1.974  1.124  0.109  1.114 -0.045  1.449  1.714  6.125
14Sing?Sym  3.371  0.008  1.000  1.995  1.029  0.022  1.021  0.000  2.030  2.120  6.166
15Sing?Sym  3.408  0.395  1.013  1.662  2.250  0.641  2.259  0.156  1.242  1.580  8.530
16Sing?Sym  3.420  0.000  1.000  2.031  1.211  0.172  1.180 -0.059  1.032  1.086  6.421
17Sing?Sym  3.473  0.002  1.000  1.668  1.404  0.700  1.290  0.665  1.076  1.198 11.454
18Sing?Sym  3.541  0.014  1.002  1.640  1.774  0.586  1.779  0.469  1.194  1.460  9.647
19Sing?Sym  3.569  0.040  1.002  1.944  1.169  0.143  1.149  0.104  1.582  1.976  6.497
20Sing?Sym  3.593  0.043  1.002  1.952  1.254  0.194  1.203  0.086  2.121  2.499  6.917
