state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   3.547  0.880  0.622  0.606  0.392  0.407
2Sing?Sym   3.910  0.007  0.226  0.585  0.778  0.419
3Sing?Sym   4.094  0.061  0.458  0.596  0.547  0.409
4Sing?Sym   4.433  0.000  0.651  0.327  0.349  0.673
5Sing?Sym   4.596  0.003  0.568  0.626  0.434  0.376
6Sing?Sym   4.619  0.000  0.096  0.569  0.904  0.432
7Sing?Sym   4.855  0.021  0.491  0.107  0.512  0.896
8Sing?Sym   5.017  0.000  0.285  0.324  0.715  0.676
9Sing?Sym   5.090  0.018  0.585  0.673  0.423  0.335
10Sing?Sym  5.155  0.000  0.734  0.903  0.266  0.097
11Sing?Sym  5.208  0.000  0.312  0.342  0.688  0.658
12Sing?Sym  5.330  0.000  0.625  0.471  0.376  0.530
13Sing?Sym  5.531  0.063  0.414  0.496  0.588  0.506
14Sing?Sym  5.598  0.032  0.431  0.458  0.574  0.548
15Sing?Sym  5.619  0.000  0.608  0.446  0.392  0.553
16Sing?Sym  5.678  0.000  0.706  0.784  0.294  0.216
17Sing?Sym  5.689  0.020  0.513  0.566  0.489  0.436
18Sing?Sym  5.740  0.011  0.250  0.468  0.752  0.534
19Sing?Sym  5.773  0.064  0.468  0.282  0.534  0.720
20Sing?Sym  5.918  0.185  0.311  0.250  0.696  0.758
