state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   3.298  1.253  1.007  1.815  2.593  0.649  2.525  0.467  1.027  1.100  6.124
2Sing?Sym   3.886  0.044  1.002  1.884  2.566  0.649  2.503  0.249  1.037  1.121  6.849
3Sing?Sym   3.936  0.020  1.002  2.055  2.035  0.634  1.632  0.071  1.100  1.255  6.148
4Sing?Sym   4.070  0.097  1.001  1.879  2.844  0.735  2.753  0.183  1.393  1.647  7.348
5Sing?Sym   4.289  0.002  1.000  2.200  2.600  0.700  2.538  0.392  1.848  1.982  4.530
6Sing?Sym   4.470  0.010  1.010  1.750  2.691  0.480  2.224  0.021  1.560  2.057  5.006
7Sing?Sym   4.582  0.000  1.000  2.135  1.979  0.578  1.671  0.094  1.003  1.015  4.187
8Sing?Sym   4.784  0.011  1.003  2.042  2.776  0.678  2.699  0.140  2.489  2.964  6.069
9Sing?Sym   4.859  0.018  1.001  1.906  2.684  0.652  2.661  0.232  2.149  2.830  6.625
10Sing?Sym  4.986  0.117  1.002  1.785  2.505  0.575  2.400  0.074  2.196  2.697  6.080
11Sing?Sym  5.025  0.007  1.001  1.752  2.522  0.599  2.395  0.236  3.059  3.309  6.105
12Sing?Sym  5.065  0.005  1.000  1.579  2.062  0.468  1.907  0.150  1.664  2.072  5.234
13Sing?Sym  5.128  0.001  1.000  1.789  2.700  0.539  2.479  0.236  1.424  1.843  5.744
14Sing?Sym  5.166  0.016  1.000  1.859  2.589  0.773  2.318  0.126  2.347  2.796  8.407
15Sing?Sym  5.184  0.028  1.000  1.836  2.803  0.654  2.783  0.297  2.210  2.989  6.694
16Sing?Sym  5.212  0.004  1.000  2.003  2.560  0.627  2.389  0.437  2.160  2.863  5.784
17Sing?Sym  5.226  0.055  1.001  1.833  2.779  0.668  2.775  0.173  2.555  3.107  7.061
18Sing?Sym  5.359  0.062  1.004  1.857  2.693  0.460  2.219  0.109  3.299  3.982  5.662
19Sing?Sym  5.391  0.002  1.000  2.006  2.820  0.673  2.615  0.366  2.581  3.078  5.956
20Sing?Sym  5.404  0.004  1.001  2.056  2.851  0.641  2.775  0.332  2.645  3.262  6.160
