state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.778  1.651  0.612  0.418  0.236  0.407  0.165  0.188
2Sing?Sym   3.204  0.000  0.555  0.316  0.250  0.354  0.196  0.330
3Sing?Sym   3.588  0.028  0.511  0.487  0.348  0.360  0.141  0.154
4Sing?Sym   3.682  0.022  0.014  0.369  0.709  0.443  0.279  0.191
5Sing?Sym   3.693  0.000  0.318  0.389  0.341  0.400  0.342  0.211
6Sing?Sym   3.940  0.009  0.579  0.575  0.308  0.306  0.129  0.136
7Sing?Sym   4.310  0.034  0.868  0.491  0.131  0.348  0.004  0.164
8Sing?Sym   4.351  0.000  0.470  0.349  0.395  0.382  0.135  0.269
9Sing?Sym   4.401  0.001  0.037  0.258  0.824  0.530  0.140  0.213
10Sing?Sym  4.448  0.093  0.418  0.453  0.493  0.369  0.090  0.179
11Sing?Sym  4.454  0.006  0.629  0.509  0.324  0.340  0.048  0.153
12Sing?Sym  4.522  0.000  0.682  0.553  0.193  0.350  0.125  0.097
13Sing?Sym  4.596  0.004  0.357  0.200  0.458  0.732  0.186  0.069
14Sing?Sym  4.637  0.000  0.009  0.275  0.654  0.373  0.336  0.352
15Sing?Sym  4.661  0.036  0.552  0.526  0.305  0.347  0.144  0.128
16Sing?Sym  4.784  0.252  0.338  0.399  0.512  0.458  0.155  0.147
17Sing?Sym  4.839  0.105  0.228  0.358  0.551  0.536  0.224  0.109
18Sing?Sym  4.879  0.000  0.470  0.070  0.350  0.402  0.179  0.528
19Sing?Sym  4.986  0.000  0.321  0.501  0.337  0.353  0.342  0.146
20Sing?Sym  5.204  0.016  0.697  0.710  0.199  0.233  0.105  0.057
