state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.991  1.478  0.662  0.480  0.306  0.443  0.047  0.092
2Sing?Sym   3.798  0.020  0.289  0.427  0.712  0.480  0.002  0.096
3Sing?Sym   3.839  0.007  0.518  0.546  0.412  0.381  0.070  0.073
4Sing?Sym   4.053  0.000  0.628  0.328  0.315  0.494  0.057  0.178
5Sing?Sym   4.213  0.019  0.510  0.593  0.451  0.356  0.055  0.066
6Sing?Sym   4.436  0.038  0.906  0.520  0.095  0.398  0.002  0.084
7Sing?Sym   4.447  0.001  0.184  0.342  0.754  0.545  0.063  0.114
8Sing?Sym   4.584  0.023  0.578  0.507  0.422  0.414  0.004  0.083
9Sing?Sym   4.603  0.001  0.653  0.605  0.288  0.346  0.059  0.050
10Sing?Sym  4.624  0.003  0.513  0.158  0.443  0.838  0.045  0.004
11Sing?Sym  4.684  0.000  0.102  0.412  0.582  0.470  0.316  0.119
12Sing?Sym  4.791  0.005  0.639  0.559  0.323  0.394  0.039  0.047
13Sing?Sym  4.912  0.000  0.574  0.553  0.368  0.394  0.058  0.053
14Sing?Sym  5.017  0.036  0.418  0.475  0.576  0.492  0.008  0.034
15Sing?Sym  5.049  0.019  0.481  0.530  0.446  0.405  0.074  0.067
16Sing?Sym  5.178  0.006  0.375  0.439  0.572  0.515  0.059  0.053
17Sing?Sym  5.242  0.000  0.362  0.471  0.637  0.437  0.001  0.091
18Sing?Sym  5.306  0.031  0.705  0.779  0.263  0.192  0.034  0.031
19Sing?Sym  5.371  0.000  0.437  0.394  0.471  0.444  0.092  0.162
20Sing?Sym  5.372  0.000  0.709  0.632  0.252  0.320  0.039  0.048
