state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.816  0.000  0.663  0.000  0.009  0.998  0.328  0.002
2Sing?Sym   2.403  0.887  0.001  0.001  1.018  1.018  0.004  0.004
3Sing?Sym   2.562  0.000  0.592  0.000  0.008  0.998  0.400  0.002
4Sing?Sym   2.813  0.000  0.347  0.000  0.121  0.998  0.532  0.002
5Sing?Sym   3.164  0.000  0.000  0.000  0.259  0.998  0.741  0.002
6Sing?Sym   3.190  0.000  0.038  0.000  0.848  0.996  0.114  0.004
7Sing?Sym   3.216  0.000  0.000  0.000  0.999  0.999  0.001  0.001
8Sing?Sym   3.331  0.000  0.020  0.000  0.001  0.998  0.979  0.002
9Sing?Sym   3.369  0.000  0.000  0.000  0.999  1.000  0.003  0.002
10Sing?Sym  3.404  0.000  0.662  0.000  0.009  0.995  0.329  0.004
11Sing?Sym  3.453  0.000  0.002  0.000  0.974  1.000  0.025  0.001
12Sing?Sym  3.473  0.000  0.000  0.000  1.000  0.999  0.000  0.001
13Sing?Sym  3.518  0.040  0.657  0.009  0.011  0.935  0.332  0.056
14Sing?Sym  3.550  0.001  0.000  0.000  0.995  0.996  0.004  0.003
15Sing?Sym  3.568  0.008  0.021  0.000  0.817  0.998  0.163  0.003
16Sing?Sym  3.592  0.002  0.006  0.000  0.953  0.969  0.042  0.032
17Sing?Sym  3.687  1.200  0.682  0.435  0.022  0.060  0.303  0.512
18Sing?Sym  3.712  0.000  0.001  0.000  0.925  0.994  0.074  0.006
19Sing?Sym  3.780  0.052  0.130  0.000  0.704  1.000  0.168  0.002
20Sing?Sym  3.799  0.001  0.147  0.000  0.700  0.998  0.154  0.003
