state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.516  0.001  0.749  0.001  0.083  1.000  0.168  0.000
2Sing?Sym   2.163  1.292  0.053  0.024  0.964  1.000  0.013  0.005
3Sing?Sym   2.270  0.002  0.687  0.002  0.141  0.998  0.173  0.001
4Sing?Sym   2.307  0.357  0.719  0.085  0.132  0.889  0.155  0.033
5Sing?Sym   2.342  0.002  0.741  0.003  0.093  0.996  0.166  0.001
6Sing?Sym   2.616  0.000  0.666  0.001  0.331  0.999  0.003  0.000
7Sing?Sym   2.788  0.000  0.844  0.001  0.156  0.999  0.000  0.000
8Sing?Sym   2.827  0.008  0.744  0.005  0.085  0.995  0.170  0.000
9Sing?Sym   2.927  0.000  0.000  0.001  0.999  0.999  0.001  0.000
10Sing?Sym  2.954  0.000  0.004  0.002  0.902  0.997  0.094  0.001
11Sing?Sym  3.051  0.000  0.457  0.001  0.113  0.998  0.430  0.001
12Sing?Sym  3.142  0.493  0.738  0.570  0.112  0.381  0.166  0.065
13Sing?Sym  3.150  0.001  0.008  0.003  0.991  0.997  0.002  0.001
14Sing?Sym  3.188  0.000  0.001  0.001  1.001  1.000  0.000  0.000
15Sing?Sym  3.189  0.000  0.000  0.001  1.000  0.999  0.000  0.000
16Sing?Sym  3.349  0.001  0.005  0.061  0.994  0.914  0.002  0.025
17Sing?Sym  3.379  0.001  0.007  0.002  0.992  0.998  0.001  0.001
18Sing?Sym  3.428  0.011  0.745  0.022  0.090  0.975  0.166  0.003
19Sing?Sym  3.534  0.020  0.115  0.010  0.867  0.989  0.020  0.003
20Sing?Sym  3.600  0.051  0.002  0.004  1.000  0.997  0.001  0.001
