state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.040  0.000  0.546  0.000  0.028  0.998  0.426  0.002
2Sing?Sym   2.041  0.001  0.343  0.000  0.129  0.998  0.528  0.002
3Sing?Sym   2.179  1.006  0.004  0.003  1.019  1.021  0.009  0.008
4Sing?Sym   2.311  0.000  0.582  0.000  0.036  0.998  0.382  0.002
5Sing?Sym   2.558  0.001  0.002  0.000  0.297  0.998  0.701  0.002
6Sing?Sym   2.784  0.360  0.542  0.037  0.032  0.854  0.427  0.110
7Sing?Sym   2.824  0.001  0.543  0.000  0.035  0.995  0.423  0.005
8Sing?Sym   2.855  0.000  0.050  0.000  0.833  0.996  0.117  0.004
9Sing?Sym   2.935  0.000  0.000  0.000  1.000  0.999  0.000  0.001
10Sing?Sym  2.979  0.000  0.034  0.000  0.009  0.998  0.957  0.002
11Sing?Sym  3.138  0.000  0.066  0.000  0.843  0.999  0.091  0.002
12Sing?Sym  3.193  0.000  0.050  0.000  0.881  0.998  0.070  0.003
13Sing?Sym  3.201  0.000  0.000  0.000  1.000  0.999  0.000  0.001
14Sing?Sym  3.213  1.180  0.563  0.440  0.036  0.146  0.412  0.426
15Sing?Sym  3.216  0.001  0.203  0.000  0.542  0.998  0.256  0.002
16Sing?Sym  3.358  0.000  0.533  0.000  0.054  0.996  0.413  0.004
17Sing?Sym  3.368  0.000  0.014  0.000  0.973  0.997  0.013  0.003
18Sing?Sym  3.374  0.000  0.001  0.007  0.996  0.945  0.003  0.048
19Sing?Sym  3.514  0.000  0.002  0.000  0.854  0.992  0.144  0.008
20Sing?Sym  3.556  0.026  0.088  0.001  0.845  0.992  0.068  0.009
