state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.498  1.507  1.011  1.793  2.661  0.648  2.661  0.255  1.018  1.064  7.397
2Sing?Sym   2.907  0.064  1.000  1.839  2.787  0.841  2.121  0.037  1.981  2.010  9.147
3Sing?Sym   3.284  0.128  1.020  1.744  2.712  0.405  1.954  0.096  2.062  2.422  5.330
4Sing?Sym   3.443  0.002  1.000  1.983  1.730  0.440  1.710  0.085  1.843  2.010  6.288
5Sing?Sym   3.648  0.134  1.003  1.885  2.382  0.686  2.367  0.004  1.349  1.724  8.571
6Sing?Sym   3.851  0.004  1.001  1.784  2.595  0.504  2.333  0.058  1.726  2.260  6.229
7Sing?Sym   3.868  0.025  1.002  1.972  2.483  0.671  2.424  0.319  2.308  2.707  7.288
8Sing?Sym   3.956  0.023  1.001  1.955  2.493  0.686  2.432  0.360  1.918  2.406  7.301
9Sing?Sym   4.042  0.004  1.000  1.921  2.806  0.561  2.543  0.182  1.871  2.381  6.382
10Sing?Sym  4.135  0.001  1.000  1.584  1.845  0.465  1.810  0.263  1.052  1.157  5.179
11Sing?Sym  4.175  0.002  1.000  1.992  1.693  0.437  1.606  0.054  1.346  1.698  6.148
12Sing?Sym  4.205  0.065  1.003  1.868  2.279  0.622  2.252 -0.082  2.888  3.399  7.711
13Sing?Sym  4.334  0.004  1.003  1.916  2.901  0.624  2.865 -0.045  1.575  2.185  7.182
14Sing?Sym  4.414  0.053  1.003  1.804  2.779  0.634  2.774  0.158  1.647  2.229  7.400
15Sing?Sym  4.476  0.011  1.001  1.648  2.456  0.543  2.284  0.315  2.039  2.707  7.564
16Sing?Sym  4.506  0.018  1.001  1.850  2.498  0.601  2.456  0.093  2.585  3.210  7.497
17Sing?Sym  4.551  0.059  1.004  1.950  2.409  0.564  2.330  0.188  3.181  3.717  6.767
18Sing?Sym  4.573  0.007  1.001  1.927  2.571  0.566  2.402  0.221  2.366  3.050  6.832
19Sing?Sym  4.602  0.023  1.002  2.061  2.870  0.637  2.695 -0.242  2.032  2.711  6.224
20Sing?Sym  4.642  0.046  1.002  1.939  2.475  0.582  2.426  0.189  3.367  3.785  6.917
