state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.337  0.000  1.000  1.597  1.107  1.000  1.097  0.809  1.000  1.000 21.324
2Sing?Sym   2.079  0.000  1.000  2.417  1.117  0.962  1.106 -0.831  1.001  1.003 13.114
3Sing?Sym   2.401  0.933  1.022  2.004  1.013  0.004  1.004  0.000  1.055  1.173  5.201
4Sing?Sym   2.507  0.000  1.000  1.689  1.226  0.995  1.185  0.626  1.001  1.003 21.309
5Sing?Sym   2.926  0.000  1.000  1.599  1.110  0.999  1.101  0.811  1.000  1.002 21.464
6Sing?Sym   3.015  0.139  1.000  1.688  1.621  0.894  1.519  0.999  1.012  1.042 17.846
7Sing?Sym   3.020  0.000  1.000  1.525  1.027  1.000  1.026  0.952  1.000  1.000 22.439
8Sing?Sym   3.081  0.819  1.004  1.482  1.973  0.528  1.667  0.575  1.041  1.135 12.495
9Sing?Sym   3.102  0.000  1.000  1.531  1.042  0.984  1.040  0.941  1.002  1.007 21.230
10Sing?Sym  3.135  0.000  1.000  1.518  1.028  0.983  1.027  0.967  1.002  1.007 22.979
11Sing?Sym  3.169  0.000  1.000  2.038  1.184  0.154  1.158 -0.069  1.024  1.075  7.550
12Sing?Sym  3.213  0.019  1.000  2.327  1.476  0.703  1.283 -0.615  1.110  1.251  9.038
13Sing?Sym  3.213  0.000  1.000  2.009  1.023  0.021  1.020 -0.016  1.023  1.077  6.224
14Sing?Sym  3.216  0.381  1.001  1.821  1.858  0.665  1.648  0.967  1.133  1.319 10.312
15Sing?Sym  3.367  0.000  1.002  2.003  1.006  0.006  1.006 -0.002  1.213  1.429  4.731
16Sing?Sym  3.408  0.000  1.000  1.598  1.109  1.000  1.100  0.812  1.000  1.000 21.078
17Sing?Sym  3.445  0.000  1.001  2.051  1.117  0.106  1.105 -0.100  1.030  1.097  6.654
18Sing?Sym  3.469  0.000  1.000  2.000  1.001  0.001  1.001  0.001  1.026  1.075  6.225
19Sing?Sym  3.506  0.001  1.001  2.242  1.600  0.603  1.378 -0.479  1.076  1.212 11.727
20Sing?Sym  3.549  0.000  1.000  2.003  1.007  0.007  1.007 -0.001  1.936  1.995  6.188
