state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.174  0.001  0.783  0.001  0.063  0.999  0.154  0.001
2Sing?Sym   2.387  1.057  0.016  0.011  1.001  1.008  0.004  0.003
3Sing?Sym   2.752  0.004  0.741  0.003  0.096  0.996  0.163  0.002
4Sing?Sym   2.782  0.497  0.777  0.118  0.076  0.843  0.150  0.042
5Sing?Sym   2.811  0.000  0.714  0.002  0.122  0.997  0.164  0.001
6Sing?Sym   2.924  0.000  0.659  0.001  0.333  0.998  0.008  0.001
7Sing?Sym   3.088  0.000  0.831  0.001  0.167  0.998  0.002  0.001
8Sing?Sym   3.182  0.000  0.000  0.001  1.000  0.999  0.000  0.000
9Sing?Sym   3.257  0.007  0.778  0.006  0.066  0.994  0.156  0.000
10Sing?Sym  3.281  0.000  0.024  0.002  0.890  0.995  0.086  0.002
11Sing?Sym  3.355  0.000  0.001  0.001  1.000  1.000  0.000  0.001
12Sing?Sym  3.436  0.000  0.004  0.002  0.996  0.998  0.001  0.001
13Sing?Sym  3.437  0.000  0.000  0.001  1.000  0.999  0.000  0.000
14Sing?Sym  3.496  0.502  0.752  0.571  0.114  0.378  0.145  0.062
15Sing?Sym  3.509  0.005  0.011  0.069  0.988  0.901  0.003  0.030
16Sing?Sym  3.548  0.010  0.017  0.014  0.979  0.984  0.003  0.002
17Sing?Sym  3.642  0.001  0.433  0.001  0.143  0.998  0.425  0.001
18Sing?Sym  3.670  0.048  0.039  0.004  0.950  0.997  0.013  0.001
19Sing?Sym  3.774  0.023  0.004  0.003  0.997  0.997  0.001  0.001
20Sing?Sym  3.856  0.001  0.732  0.003  0.126  0.997  0.143  0.000
