state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.858  1.197  0.679  0.298  0.147  0.540  0.176  0.165
2Sing?Sym   3.194  0.489  0.607  0.388  0.235  0.509  0.159  0.104
3Sing?Sym   3.388  0.117  0.262  0.429  0.682  0.384  0.062  0.193
4Sing?Sym   3.634  0.043  0.113  0.056  0.808  0.874  0.081  0.070
5Sing?Sym   3.684  0.123  0.148  0.299  0.785  0.623  0.071  0.081
6Sing?Sym   3.838  0.011  0.640  0.575  0.208  0.281  0.152  0.145
7Sing?Sym   3.941  0.011  0.665  0.116  0.166  0.753  0.169  0.132
8Sing?Sym   4.011  0.025  0.817  0.875  0.057  0.076  0.127  0.050
9Sing?Sym   4.071  0.002  0.564  0.249  0.219  0.223  0.217  0.527
10Sing?Sym  4.098  0.028  0.686  0.337  0.170  0.517  0.148  0.150
11Sing?Sym  4.226  0.007  0.197  0.182  0.704  0.577  0.099  0.240
12Sing?Sym  4.303  0.027  0.364  0.417  0.518  0.421  0.119  0.163
13Sing?Sym  4.357  0.067  0.398  0.414  0.487  0.402  0.118  0.188
14Sing?Sym  4.398  0.002  0.159  0.509  0.758  0.322  0.083  0.168
15Sing?Sym  4.490  0.002  0.215  0.158  0.606  0.655  0.180  0.187
16Sing?Sym  4.498  0.007  0.170  0.173  0.666  0.465  0.164  0.363
17Sing?Sym  4.533  0.043  0.837  0.547  0.083  0.281  0.082  0.174
18Sing?Sym  4.588  0.137  0.326  0.260  0.596  0.562  0.081  0.181
19Sing?Sym  4.598  0.017  0.846  0.472  0.099  0.335  0.056  0.194
20Sing?Sym  4.618  0.049  0.243  0.215  0.689  0.556  0.069  0.231
