state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.783  0.001  0.553  0.001  0.078  0.999  0.370  0.000
2Sing?Sym   2.073  0.000  0.605  0.001  0.348  0.999  0.047  0.000
3Sing?Sym   2.165  1.161  0.015  0.011  1.004  1.013  0.012  0.007
4Sing?Sym   2.203  0.000  0.311  0.001  0.077  0.998  0.612  0.000
5Sing?Sym   2.476  0.002  0.612  0.001  0.089  0.998  0.299  0.001
6Sing?Sym   2.480  0.584  0.549  0.091  0.093  0.828  0.364  0.086
7Sing?Sym   2.614  0.001  0.556  0.003  0.081  0.996  0.364  0.001
8Sing?Sym   2.903  0.000  0.000  0.001  1.000  0.999  0.000  0.000
9Sing?Sym   2.988  0.000  0.004  0.002  0.892  0.996  0.104  0.002
10Sing?Sym  3.067  0.000  0.507  0.330  0.078  0.134  0.416  0.537
11Sing?Sym  3.101  0.010  0.548  0.005  0.081  0.994  0.372  0.001
12Sing?Sym  3.134  0.001  0.005  0.001  0.994  0.998  0.002  0.001
13Sing?Sym  3.162  0.000  0.000  0.001  1.000  0.999  0.000  0.000
14Sing?Sym  3.175  0.000  0.001  0.002  1.000  0.999  0.000  0.001
15Sing?Sym  3.275  0.393  0.512  0.407  0.106  0.404  0.392  0.199
16Sing?Sym  3.310  0.002  0.003  0.050  0.995  0.898  0.003  0.053
17Sing?Sym  3.380  0.000  0.001  0.002  0.999  0.998  0.000  0.001
18Sing?Sym  3.532  0.013  0.262  0.007  0.700  0.990  0.039  0.005
19Sing?Sym  3.559  0.000  0.318  0.240  0.075  0.592  0.607  0.169
20Sing?Sym  3.589  0.055  0.002  0.003  1.001  0.998  0.001  0.002
