state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.970  0.000  1.000  1.811  1.474  0.935  1.324  0.382  1.001  1.003 12.221
2Sing?Sym   2.115  0.006  1.000  1.923  1.524  0.975  1.347  0.157  1.001  1.007 13.705
3Sing?Sym   2.175  0.946  1.031  2.000  1.025  0.015  1.013  0.002  1.065  1.187  5.391
4Sing?Sym   2.514  0.002  1.000  1.945  1.968  0.635  1.497  0.115  1.032  1.092 10.541
5Sing?Sym   2.581  0.002  1.000  2.269  1.520  0.767  1.345 -0.532  1.014  1.045  9.591
6Sing?Sym   2.723  0.308  1.001  1.823  1.610  0.888  1.545  0.401  1.015  1.053 11.112
7Sing?Sym   2.765  0.001  1.000  1.813  1.485  0.930  1.333  0.384  1.037  1.100 12.467
8Sing?Sym   2.898  0.000  1.000  2.032  1.246  0.194  1.201 -0.058  1.021  1.068  7.082
9Sing?Sym   2.937  0.000  1.000  2.001  1.002  0.002  1.002  0.001  1.014  1.043  6.352
10Sing?Sym  3.154  0.001  1.001  2.000  1.013  0.012  1.013  0.004  1.031  1.097  5.694
11Sing?Sym  3.196  0.000  1.002  2.001  1.004  0.004  1.004  0.001  1.106  1.257  5.754
12Sing?Sym  3.201  0.000  1.000  2.001  1.001  0.001  1.001  0.001  1.021  1.062  6.489
13Sing?Sym  3.296  0.003  1.000  1.813  1.484  0.931  1.332  0.381  1.008  1.027 11.756
14Sing?Sym  3.365  0.001  1.000  2.009  1.064  0.059  1.061  0.017  1.531  1.754  5.771
15Sing?Sym  3.366  0.000  1.000  2.003  1.014  0.014  1.014  0.003  2.007  2.044  6.129
16Sing?Sym  3.456  0.789  1.013  1.698  2.319  0.546  2.226  0.162  1.111  1.345  7.001
17Sing?Sym  3.493  0.009  1.001  1.916  1.677  0.443  1.422  0.174  1.254  1.481  9.343
18Sing?Sym  3.538  0.002  1.000  2.074  1.200  0.169  1.171 -0.138  1.113  1.296  6.574
19Sing?Sym  3.604  0.027  1.002  1.995  1.042  0.040  1.041  0.015  1.679  1.908  5.866
20Sing?Sym  3.615  0.037  1.001  1.869  1.707  0.491  1.420  0.266  1.218  1.444 10.286
