state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.283  0.000  0.892  0.000  0.008  0.998  0.099  0.002
2Sing?Sym   2.394  0.001  0.802  0.000  0.032  0.998  0.166  0.002
3Sing?Sym   2.399  1.013  0.009  0.007  1.009  1.010  0.004  0.004
4Sing?Sym   2.871  0.000  0.891  0.000  0.009  0.995  0.100  0.004
5Sing?Sym   2.981  0.097  0.889  0.050  0.010  0.898  0.101  0.053
6Sing?Sym   2.991  0.000  0.957  0.000  0.011  0.998  0.032  0.002
7Sing?Sym   3.037  0.000  0.887  0.000  0.058  0.998  0.055  0.002
8Sing?Sym   3.117  1.153  0.901  0.754  0.018  0.097  0.088  0.156
9Sing?Sym   3.124  0.002  0.933  0.001  0.036  0.997  0.031  0.002
10Sing?Sym  3.143  0.000  0.145  0.000  0.745  0.996  0.110  0.003
11Sing?Sym  3.184  0.001  0.116  0.001  0.254  0.997  0.630  0.002
12Sing?Sym  3.219  0.000  0.000  0.000  1.000  0.999  0.000  0.001
13Sing?Sym  3.357  0.000  0.895  0.000  0.008  0.996  0.097  0.004
14Sing?Sym  3.369  0.000  0.003  0.000  0.994  1.000  0.005  0.002
15Sing?Sym  3.432  0.000  0.265  0.000  0.545  0.998  0.189  0.002
16Sing?Sym  3.474  0.000  0.171  0.000  0.748  0.999  0.082  0.002
17Sing?Sym  3.477  0.000  0.015  0.000  0.978  0.999  0.007  0.001
18Sing?Sym  3.550  0.000  0.000  0.000  0.996  0.997  0.003  0.003
19Sing?Sym  3.585  0.001  0.014  0.002  0.974  0.974  0.013  0.024
20Sing?Sym  3.617  0.016  0.113  0.001  0.756  0.991  0.132  0.010
