state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.689  1.322  0.485  0.268  0.462  0.680  0.065  0.063
2Sing?Sym   3.190  0.047  0.336  0.337  0.615  0.624  0.049  0.039
3Sing?Sym   3.512  0.002  0.250  0.180  0.701  0.795  0.049  0.025
4Sing?Sym   3.614  0.258  0.399  0.363  0.587  0.619  0.031  0.036
5Sing?Sym   3.975  0.051  0.394  0.231  0.580  0.742  0.030  0.030
6Sing?Sym   4.028  0.004  0.297  0.264  0.639  0.722  0.064  0.014
7Sing?Sym   4.095  0.000  0.580  0.430  0.358  0.477  0.062  0.093
8Sing?Sym   4.170  0.043  0.365  0.350  0.621  0.628  0.018  0.027
9Sing?Sym   4.283  0.008  0.345  0.254  0.610  0.709  0.047  0.039
10Sing?Sym  4.326  0.001  0.354  0.352  0.618  0.602  0.029  0.046
11Sing?Sym  4.423  0.041  0.537  0.303  0.450  0.649  0.015  0.050
12Sing?Sym  4.452  0.027  0.409  0.314  0.584  0.651  0.009  0.038
13Sing?Sym  4.535  0.000  0.073  0.294  0.524  0.611  0.403  0.095
14Sing?Sym  4.552  0.002  0.685  0.384  0.300  0.557  0.016  0.061
15Sing?Sym  4.639  0.075  0.427  0.348  0.507  0.603  0.071  0.055
16Sing?Sym  4.677  0.000  0.549  0.447  0.376  0.398  0.075  0.155
17Sing?Sym  4.757  0.050  0.231  0.332  0.744  0.654  0.031  0.020
18Sing?Sym  4.855  0.004  0.413  0.323  0.552  0.660  0.036  0.017
19Sing?Sym  4.911  0.053  0.411  0.335  0.566  0.650  0.025  0.016
20Sing?Sym  5.086  0.000  0.337  0.488  0.615  0.444  0.047  0.068
