state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.737  1.297  0.508  0.389  0.451  0.429  0.072  0.214
2Sing?Sym   3.321  0.062  0.303  0.359  0.696  0.432  0.005  0.213
3Sing?Sym   3.522  0.048  0.539  0.379  0.176  0.411  0.290  0.216
4Sing?Sym   3.769  0.018  0.520  0.423  0.373  0.391  0.109  0.187
5Sing?Sym   4.037  0.000  0.158  0.315  0.842  0.472  0.001  0.214
6Sing?Sym   4.323  0.000  0.563  0.415  0.373  0.028  0.065  0.556
7Sing?Sym   4.364  0.015  0.443  0.613  0.512  0.271  0.061  0.130
8Sing?Sym   4.556  0.024  0.380  0.116  0.545  0.872  0.077  0.014
9Sing?Sym   4.603  0.000  0.479  0.688  0.439  0.256  0.082  0.056
10Sing?Sym  4.720  0.007  0.638  0.394  0.265  0.487  0.100  0.121
11Sing?Sym  4.768  0.000  0.528  0.744  0.401  0.154  0.071  0.102
12Sing?Sym  5.033  0.002  0.514  0.387  0.410  0.465  0.079  0.152
13Sing?Sym  5.118  0.007  0.508  0.363  0.367  0.447  0.127  0.193
14Sing?Sym  5.199  0.047  0.350  0.518  0.499  0.357  0.154  0.127
15Sing?Sym  5.222  0.047  0.401  0.516  0.505  0.376  0.096  0.111
16Sing?Sym  5.313  0.000  0.536  0.468  0.047  0.009  0.417  0.522
17Sing?Sym  5.355  0.061  0.479  0.604  0.203  0.273  0.323  0.128
18Sing?Sym  5.440  0.000  0.368  0.522  0.631  0.405  0.001  0.072
19Sing?Sym  5.594  0.006  0.466  0.506  0.454  0.380  0.082  0.116
20Sing?Sym  5.634  0.182  0.442  0.307  0.502  0.624  0.062  0.075
