state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.403  1.882  1.010  1.682  2.536  0.590  2.486  0.150  1.021  1.070  7.909
2Sing?Sym   2.874  0.076  1.000  1.764  2.562  0.824  2.008  0.048  1.849  1.941 10.640
3Sing?Sym   3.142  0.123  1.011  1.708  2.551  0.529  2.420  0.015  1.830  2.127  7.941
4Sing?Sym   3.447  0.003  1.000  1.748  2.471  0.502  2.269  0.043  2.006  2.345  8.253
5Sing?Sym   3.577  0.006  1.000  1.725  2.537  0.502  2.318  0.075  1.906  2.386  8.059
6Sing?Sym   3.613  0.154  1.003  1.835  2.035  0.593  2.090  0.034  1.792  2.310 10.065
7Sing?Sym   3.800  0.028  1.003  1.460  1.998  0.342  1.624 -0.149  2.178  2.752  6.187
8Sing?Sym   3.830  0.018  1.001  1.818  2.481  0.589  2.458  0.109  2.388  2.735  8.922
9Sing?Sym   3.894  0.003  1.003  1.660  2.444  0.459  2.074  0.102  2.183  2.762  6.355
10Sing?Sym  3.944  0.003  1.004  1.815  2.730  0.573  2.600  0.336  2.063  2.645  7.616
11Sing?Sym  4.043  0.002  1.000  2.001  2.365  0.581  2.229  0.345  1.293  1.647  7.837
12Sing?Sym  4.112  0.014  1.000  1.850  2.175  0.709  2.002 -0.148  2.328  2.739 10.456
13Sing?Sym  4.287  0.010  1.000  1.699  2.398  0.642  2.409  0.151  2.509  3.140 10.373
14Sing?Sym  4.306  0.013  1.001  1.771  2.465  0.575  2.421 -0.096  2.977  3.467  9.207
15Sing?Sym  4.329  0.044  1.001  1.591  2.379  0.520  2.264  0.169  2.029  2.719  8.110
16Sing?Sym  4.356  0.030  1.001  1.660  2.498  0.524  2.349  0.015  2.377  2.949  8.912
17Sing?Sym  4.384  0.002  1.001  1.559  2.271  0.488  2.072  0.243  1.990  2.639  7.727
18Sing?Sym  4.397  0.002  0.999  1.601  1.994  0.489  1.954  0.004  1.141  1.333  5.404
19Sing?Sym  4.425  0.059  1.002  1.743  2.562  0.581  2.458  0.122  2.252  2.857  6.955
20Sing?Sym  4.436  0.013  1.001  1.417  1.887  0.477  1.749  0.407  1.619  2.057  8.668
