state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   0.656  0.001  0.662  0.000  0.109  1.000  0.230  0.002
2Sing?Sym   1.922  0.001  0.612  0.000  0.381  0.998  0.007  0.002
3Sing?Sym   2.161  1.022  0.015  0.010  1.009  1.016  0.006  0.005
4Sing?Sym   2.455  0.243  0.666  0.041  0.113  0.945  0.224  0.017
5Sing?Sym   2.489  0.355  0.666  0.063  0.115  0.916  0.224  0.026
6Sing?Sym   2.692  0.002  0.755  0.000  0.101  0.998  0.145  0.002
7Sing?Sym   2.928  0.000  0.000  0.000  1.000  0.999  0.000  0.001
8Sing?Sym   2.984  0.005  0.657  0.000  0.112  0.995  0.231  0.004
9Sing?Sym   2.992  0.000  0.033  0.001  0.873  0.996  0.094  0.003
10Sing?Sym  3.149  0.002  0.013  0.002  0.984  0.997  0.004  0.002
11Sing?Sym  3.184  0.000  0.000  0.000  1.001  1.000  0.001  0.001
12Sing?Sym  3.189  0.000  0.000  0.000  1.000  0.999  0.000  0.001
13Sing?Sym  3.332  0.002  0.006  0.075  0.992  0.898  0.003  0.027
14Sing?Sym  3.371  0.008  0.008  0.011  0.990  0.983  0.003  0.006
15Sing?Sym  3.408  0.395  0.629  0.364  0.176  0.548  0.207  0.101
16Sing?Sym  3.420  0.000  0.053  0.003  0.833  0.993  0.114  0.004
17Sing?Sym  3.473  0.002  0.681  0.002  0.303  0.996  0.016  0.002
18Sing?Sym  3.541  0.014  0.611  0.179  0.375  0.770  0.016  0.053
19Sing?Sym  3.569  0.040  0.121  0.009  0.868  0.988  0.014  0.005
20Sing?Sym  3.593  0.043  0.142  0.010  0.811  0.987  0.050  0.005
