state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   0.688  0.000  1.000  1.724  1.306  0.965  1.236  0.556  1.000  1.002 13.094
2Sing?Sym   2.173  1.063  1.031  1.997  1.041  0.018  1.013  0.004  1.088  1.241  5.336
3Sing?Sym   2.211  0.001  1.000  1.946  1.853  0.809  1.464  0.113  1.030  1.085 11.326
4Sing?Sym   2.450  0.213  1.002  1.741  1.449  0.910  1.431  0.561  1.035  1.100 12.070
5Sing?Sym   2.476  0.001  1.000  1.728  1.316  0.963  1.246  0.553  1.032  1.087 13.305
6Sing?Sym   2.518  0.000  1.000  2.289  1.497  0.715  1.334 -0.574  1.020  1.062  9.451
7Sing?Sym   2.763  0.000  1.000  1.841  1.470  0.963  1.322  0.321  1.002  1.008 13.801
8Sing?Sym   2.859  0.000  1.000  2.017  1.196  0.161  1.167 -0.027  1.019  1.061  7.152
9Sing?Sym   2.921  0.000  1.000  1.715  1.264  0.992  1.210  0.574  1.001  1.003 14.644
10Sing?Sym  2.943  0.000  1.000  2.001  1.001  0.001  1.001  0.001  1.013  1.042  6.341
11Sing?Sym  3.007  0.012  1.000  1.722  1.316  0.960  1.250  0.557  1.001  1.006 12.686
12Sing?Sym  3.053  0.810  1.017  1.538  1.915  0.455  1.826  0.201  1.071  1.227  6.562
13Sing?Sym  3.150  0.000  1.000  1.996  1.044  0.042  1.043  0.012  1.020  1.067  6.017
14Sing?Sym  3.200  0.000  1.002  2.001  1.016  0.016  1.016  0.002  1.118  1.281  5.731
15Sing?Sym  3.208  0.000  1.000  2.001  1.001  0.001  1.001  0.001  1.022  1.064  6.474
16Sing?Sym  3.295  0.000  1.001  1.934  1.957  0.636  1.495  0.137  1.033  1.104 10.485
17Sing?Sym  3.368  0.000  1.000  2.002  1.005  0.005  1.005  0.001  1.980  2.013  6.154
18Sing?Sym  3.375  0.000  1.000  2.011  1.066  0.062  1.064  0.019  1.428  1.663  5.686
19Sing?Sym  3.519  0.000  1.000  2.074  1.188  0.161  1.163 -0.136  1.081  1.208  6.602
20Sing?Sym  3.586  0.027  1.002  1.980  1.139  0.122  1.128  0.048  1.701  1.973  6.325
