state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
1Sing?Sym   1.454  0.000  0.968  0.002  0.032  0.998
2Sing?Sym   2.401  0.827  0.006  0.004  1.017  1.018
3Sing?Sym   2.841  0.001  0.547  0.002  0.453  0.998
4Sing?Sym   3.036  0.000  0.958  0.004  0.042  0.996
5Sing?Sym   3.044  0.000  0.908  0.002  0.092  0.998
6Sing?Sym   3.100  0.000  0.967  0.053  0.033  0.947
7Sing?Sym   3.199  0.000  0.111  0.004  0.889  0.996
8Sing?Sym   3.208  0.000  0.010  0.001  0.990  0.999
9Sing?Sym   3.367  0.000  0.002  0.002  1.000  1.000
10Sing?Sym  3.449  0.000  0.013  0.001  0.987  1.000
11Sing?Sym  3.464  0.000  0.000  0.001  1.000  0.999
12Sing?Sym  3.543  0.000  0.968  0.004  0.032  0.996
13Sing?Sym  3.550  0.000  0.006  0.003  0.994  0.997
14Sing?Sym  3.568  0.000  0.005  0.027  0.995  0.973
15Sing?Sym  3.597  0.016  0.143  0.008  0.859  0.994
16Sing?Sym  3.612  0.000  0.936  0.002  0.064  0.998
17Sing?Sym  3.753  0.001  0.062  0.006  0.938  0.993
18Sing?Sym  3.784  0.037  0.008  0.002  0.993  1.000
19Sing?Sym  3.878  0.231  0.359  0.325  0.652  0.686
20Sing?Sym  3.895  0.024  0.318  0.003  0.684  0.998
