state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   2.920  0.662  1.006  1.494  1.639  0.602  1.646  0.470  1.028  1.095  6.387
2Sing?Sym   3.416  0.162  1.001  1.626  1.881  0.537  1.878 -0.002  1.884  1.994  6.088
3Sing?Sym   3.600  0.047  1.001  1.671  1.767  0.459  1.754  0.157  1.877  2.004  5.788
4Sing?Sym   3.794  0.155  1.014  1.533  1.991  0.236  1.561  0.009  2.248  2.697  4.315
5Sing?Sym   4.014  0.025  1.001  1.631  1.691  0.635  1.572  0.383  2.110  2.430  6.321
6Sing?Sym   4.103  0.007  1.000  1.740  1.565  0.433  1.447  0.377  1.101  1.258  5.341
7Sing?Sym   4.272  0.110  1.004  1.446  1.931  0.486  1.928 -0.158  1.275  1.641  6.103
8Sing?Sym   4.420  0.038  1.002  1.761  1.572  0.348  1.549 -0.061  1.564  1.969  5.051
9Sing?Sym   4.467  0.010  1.001  1.602  1.890  0.444  1.865  0.139  1.375  1.713  5.555
10Sing?Sym  4.502  0.028  1.002  1.507  1.981  0.347  1.815  0.096  2.063  2.519  4.521
11Sing?Sym  4.514  0.079  1.004  1.666  1.801  0.411  1.773  0.014  3.240  3.644  5.584
12Sing?Sym  4.637  0.015  1.000  1.421  1.730  0.536  1.723  0.379  2.034  2.275  6.759
13Sing?Sym  4.670  0.006  1.001  1.449  1.815  0.480  1.817  0.309  2.154  2.427  6.554
14Sing?Sym  4.789  0.004  1.000  1.675  1.694  0.553  1.629  0.310  1.489  1.904  6.266
15Sing?Sym  4.887  0.091  1.002  1.658  1.728  0.590  1.646 -0.296  1.626  2.097  6.507
16Sing?Sym  5.012  0.028  1.001  1.466  1.800  0.537  1.804  0.329  2.235  2.920  6.147
17Sing?Sym  5.045  0.005  1.001  1.431  1.962  0.315  1.733 -0.020  2.299  3.109  5.052
18Sing?Sym  5.169  0.028  1.001  1.503  1.991  0.410  1.929 -0.068  2.148  3.122  4.851
19Sing?Sym  5.201  0.016  1.000  1.797  1.479  0.189  1.292  0.031  2.995  3.679  4.469
20Sing?Sym  5.233  0.037  1.001  1.302  1.690  0.378  1.598  0.232  2.427  3.282  5.871
