state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.418  1.455  0.462  0.319  0.493  0.639  0.065  0.063
2Sing?Sym   2.925  0.017  0.363  0.373  0.584  0.589  0.053  0.038
3Sing?Sym   3.377  0.001  0.239  0.183  0.713  0.792  0.049  0.026
4Sing?Sym   3.446  0.245  0.408  0.364  0.582  0.621  0.032  0.038
5Sing?Sym   3.730  0.000  0.528  0.382  0.407  0.508  0.065  0.111
6Sing?Sym   3.808  0.007  0.302  0.278  0.632  0.710  0.066  0.013
7Sing?Sym   3.852  0.041  0.354  0.269  0.623  0.696  0.027  0.038
8Sing?Sym   4.012  0.025  0.325  0.280  0.653  0.677  0.024  0.045
9Sing?Sym   4.090  0.015  0.428  0.355  0.511  0.621  0.063  0.027
10Sing?Sym  4.137  0.023  0.265  0.351  0.724  0.607  0.015  0.046
11Sing?Sym  4.251  0.000  0.077  0.327  0.528  0.584  0.394  0.089
12Sing?Sym  4.299  0.027  0.629  0.355  0.358  0.585  0.016  0.063
13Sing?Sym  4.387  0.011  0.532  0.354  0.440  0.614  0.030  0.034
14Sing?Sym  4.394  0.000  0.534  0.494  0.398  0.376  0.068  0.130
15Sing?Sym  4.411  0.010  0.451  0.369  0.537  0.594  0.013  0.038
16Sing?Sym  4.511  0.027  0.481  0.410  0.471  0.540  0.055  0.057
17Sing?Sym  4.673  0.006  0.426  0.337  0.524  0.640  0.051  0.024
18Sing?Sym  4.692  0.046  0.227  0.314  0.754  0.668  0.022  0.021
19Sing?Sym  4.816  0.059  0.356  0.295  0.626  0.697  0.020  0.010
20Sing?Sym  4.843  0.000  0.320  0.418  0.630  0.489  0.049  0.093
