state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   2.936  1.324  0.758  0.380  0.094  0.284  0.156  0.344
2Sing?Sym   3.720  0.187  0.590  0.548  0.223  0.197  0.189  0.257
3Sing?Sym   3.918  0.016  0.034  0.311  0.925  0.350  0.044  0.341
4Sing?Sym   4.009  0.059  0.432  0.388  0.399  0.239  0.178  0.383
5Sing?Sym   4.130  0.006  0.564  0.224  0.183  0.267  0.255  0.512
6Sing?Sym   4.422  0.014  0.632  0.460  0.027  0.210  0.342  0.331
7Sing?Sym   4.480  0.013  0.782  0.544  0.051  0.121  0.167  0.335
8Sing?Sym   4.559  0.002  0.808  0.441  0.049  0.274  0.144  0.286
9Sing?Sym   4.570  0.002  0.552  0.182  0.207  0.691  0.241  0.128
10Sing?Sym  4.579  0.000  0.034  0.227  0.873  0.408  0.094  0.366
11Sing?Sym  4.643  0.000  0.647  0.467  0.136  0.298  0.217  0.235
12Sing?Sym  4.702  0.035  0.417  0.296  0.198  0.305  0.387  0.401
13Sing?Sym  4.781  0.083  0.348  0.499  0.434  0.259  0.218  0.242
14Sing?Sym  4.911  0.022  0.321  0.424  0.579  0.365  0.102  0.214
15Sing?Sym  4.934  0.003  0.533  0.049  0.270  0.687  0.197  0.263
16Sing?Sym  4.959  0.023  0.411  0.473  0.439  0.285  0.155  0.247
17Sing?Sym  5.185  0.004  0.757  0.711  0.084  0.166  0.160  0.124
18Sing?Sym  5.285  0.003  0.183  0.177  0.594  0.394  0.225  0.431
19Sing?Sym  5.326  0.022  0.645  0.625  0.070  0.140  0.285  0.235
20Sing?Sym  5.355  0.064  0.639  0.539  0.145  0.195  0.217  0.267
