state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   3.010  0.876  0.658  0.205  0.169  0.587  0.176  0.211
2Sing?Sym   3.336  0.324  0.408  0.378  0.431  0.389  0.162  0.234
3Sing?Sym   3.552  0.184  0.465  0.407  0.419  0.375  0.128  0.230
4Sing?Sym   3.659  0.015  0.099  0.031  0.788  0.877  0.113  0.093
5Sing?Sym   3.775  0.159  0.162  0.331  0.706  0.483  0.135  0.189
6Sing?Sym   4.039  0.015  0.667  0.074  0.178  0.708  0.155  0.218
7Sing?Sym   4.116  0.009  0.564  0.082  0.233  0.508  0.203  0.410
8Sing?Sym   4.204  0.001  0.520  0.390  0.308  0.427  0.172  0.183
9Sing?Sym   4.286  0.007  0.394  0.291  0.457  0.529  0.149  0.180
10Sing?Sym  4.389  0.121  0.114  0.355  0.809  0.418  0.083  0.232
11Sing?Sym  4.497  0.003  0.134  0.127  0.823  0.697  0.044  0.177
12Sing?Sym  4.518  0.004  0.593  0.479  0.250  0.185  0.157  0.335
13Sing?Sym  4.547  0.009  0.311  0.185  0.558  0.392  0.131  0.423
14Sing?Sym  4.595  0.107  0.309  0.196  0.495  0.558  0.198  0.248
15Sing?Sym  4.629  0.046  0.253  0.329  0.502  0.470  0.246  0.203
16Sing?Sym  4.673  0.018  0.534  0.306  0.250  0.509  0.217  0.185
17Sing?Sym  4.691  0.027  0.297  0.201  0.485  0.629  0.221  0.173
18Sing?Sym  4.751  0.015  0.221  0.288  0.466  0.486  0.313  0.227
19Sing?Sym  4.761  0.015  0.722  0.357  0.116  0.421  0.162  0.223
20Sing?Sym  4.800  0.009  0.481  0.388  0.127  0.391  0.393  0.221
