state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.859  0.000  0.773  0.000  0.024  0.998  0.203  0.002
2Sing?Sym   2.403  0.853  0.002  0.001  1.018  1.018  0.003  0.003
3Sing?Sym   2.523  0.000  0.633  0.000  0.002  0.998  0.365  0.002
4Sing?Sym   3.132  0.000  0.107  0.000  0.776  0.996  0.116  0.004
5Sing?Sym   3.204  0.000  0.018  0.000  0.275  0.998  0.707  0.002
6Sing?Sym   3.213  0.000  0.000  0.000  1.000  0.999  0.000  0.001
7Sing?Sym   3.364  0.000  0.099  0.000  0.807  0.999  0.095  0.002
8Sing?Sym   3.377  0.000  0.242  0.000  0.563  0.998  0.195  0.002
9Sing?Sym   3.448  0.000  0.517  0.000  0.336  0.996  0.147  0.004
10Sing?Sym  3.468  0.000  0.243  0.000  0.669  0.998  0.089  0.002
11Sing?Sym  3.470  0.000  0.000  0.000  0.999  0.999  0.000  0.001
12Sing?Sym  3.547  0.043  0.725  0.013  0.080  0.935  0.195  0.051
13Sing?Sym  3.550  0.004  0.041  0.001  0.944  0.992  0.014  0.006
14Sing?Sym  3.583  0.001  0.005  0.002  0.990  0.969  0.005  0.029
15Sing?Sym  3.633  0.022  0.099  0.000  0.793  0.994  0.109  0.007
16Sing?Sym  3.732  0.000  0.006  0.000  0.906  0.994  0.088  0.006
17Sing?Sym  3.788  0.032  0.003  0.000  0.993  0.999  0.006  0.002
18Sing?Sym  3.890  0.143  0.123  0.083  0.849  0.871  0.038  0.056
19Sing?Sym  3.896  0.023  0.183  0.002  0.535  0.995  0.283  0.004
20Sing?Sym  3.939  0.019  0.777  0.011  0.023  0.979  0.200  0.011
