state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.797  0.299  1.003  1.698  1.591  0.860  1.596 -0.748  1.009  1.037  9.473
2Sing?Sym   2.087  0.045  1.006  2.068  1.427  0.303  1.324 -0.112  1.008  1.029  4.663
3Sing?Sym   2.566  0.235  1.003  1.987  2.462  0.542  2.253 -0.027  1.271  1.570  6.345
4Sing?Sym   2.616  0.324  1.012  1.500  2.007  0.429  1.820 -0.033  1.455  1.851  6.333
5Sing?Sym   2.733  0.000  1.000  1.772  1.989  0.771  2.009 -0.467  1.008  1.030  7.075
6Sing?Sym   2.780  0.080  1.004  1.686  2.196  0.557  2.237 -0.453  1.473  1.884  7.601
7Sing?Sym   2.949  0.000  1.000  2.024  1.370  0.244  1.290 -0.097  1.032  1.100  5.572
8Sing?Sym   2.971  0.054  1.002  1.773  2.517  0.466  2.203 -0.131  1.717  2.271  6.749
9Sing?Sym   3.051  0.000  1.000  2.046  1.274  0.213  1.224 -0.073  1.013  1.044  5.488
10Sing?Sym  3.062  0.014  1.001  1.716  2.531  0.688  2.403  0.166  2.242  2.586  8.275
11Sing?Sym  3.083  0.002  1.002  1.729  2.521  0.527  2.379 -0.113  2.241  2.771  7.476
12Sing?Sym  3.138  0.038  1.002  1.691  2.275  0.655  2.269  0.213  2.279  2.702  8.166
13Sing?Sym  3.307  0.000  1.000  1.445  1.756  0.440  1.705 -0.013  1.105  1.232  6.128
14Sing?Sym  3.319  0.032  1.001  1.867  2.655  0.582  2.539 -0.041  1.790  2.344  6.660
15Sing?Sym  3.363  0.019  1.002  1.616  2.317  0.646  2.259 -0.250  2.018  2.507  7.752
16Sing?Sym  3.372  0.000  1.000  1.462  1.768  0.708  1.479 -0.787  1.100  1.219 11.059
17Sing?Sym  3.431  0.023  1.001  1.680  2.541  0.742  2.375  0.280  2.071  2.588  8.044
18Sing?Sym  3.497  0.085  1.003  1.892  2.297  0.625  2.220 -0.268  1.296  1.720  7.435
19Sing?Sym  3.579  0.039  1.001  1.622  2.244  0.581  2.123 -0.335  1.688  2.125  6.274
20Sing?Sym  3.669  0.145  1.009  1.474  1.914  0.495  1.875 -0.130  2.314  2.734  6.918
