state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.274  0.001  0.556  0.000  0.069  0.998  0.375  0.002
2Sing?Sym   2.378  1.087  0.029  0.009  0.980  1.002  0.012  0.009
3Sing?Sym   2.389  0.029  0.604  0.000  0.381  0.998  0.016  0.002
4Sing?Sym   2.782  0.002  0.584  0.000  0.092  0.997  0.324  0.003
5Sing?Sym   2.865  0.492  0.568  0.072  0.079  0.858  0.356  0.074
6Sing?Sym   2.878  0.249  0.564  0.038  0.076  0.924  0.363  0.041
7Sing?Sym   3.189  0.000  0.000  0.000  1.000  0.999  0.000  0.001
8Sing?Sym   3.330  0.000  0.001  0.001  0.895  0.994  0.104  0.005
9Sing?Sym   3.351  0.000  0.006  0.001  0.990  0.999  0.006  0.002
10Sing?Sym  3.368  0.007  0.547  0.002  0.081  0.993  0.372  0.005
11Sing?Sym  3.438  0.001  0.004  0.003  0.996  0.993  0.002  0.005
12Sing?Sym  3.444  0.000  0.000  0.000  1.000  0.999  0.000  0.001
13Sing?Sym  3.478  0.000  0.004  0.073  0.994  0.845  0.003  0.083
14Sing?Sym  3.527  0.350  0.273  0.206  0.564  0.697  0.169  0.103
15Sing?Sym  3.547  0.346  0.284  0.210  0.549  0.693  0.173  0.103
16Sing?Sym  3.622  0.000  0.001  0.001  0.862  0.992  0.136  0.007
17Sing?Sym  3.660  0.046  0.045  0.002  0.940  0.996  0.017  0.005
18Sing?Sym  3.773  0.025  0.018  0.003  0.981  0.995  0.003  0.004
19Sing?Sym  3.780  0.019  0.630  0.276  0.363  0.519  0.009  0.207
20Sing?Sym  3.852  0.002  0.715  0.000  0.219  0.998  0.066  0.002
