state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.629  0.014  1.001  1.732  1.392  0.950  1.393 -0.831  1.005  1.018  9.403
2Sing?Sym   2.118  0.043  1.006  2.147  1.375  0.272  1.374 -0.010  1.008  1.033  4.098
3Sing?Sym   2.525  0.015  1.002  1.845  1.831  0.800  1.828 -0.527  1.162  1.367  7.795
4Sing?Sym   2.583  0.834  1.016  1.406  1.651  0.330  1.497 -0.069  1.273  1.596  5.330
5Sing?Sym   2.841  0.050  1.002  1.938  1.998  0.607  1.794 -0.398  1.126  1.296  7.871
6Sing?Sym   2.846  0.000  1.000  1.982  1.457  0.336  1.441 -0.316  1.005  1.023  5.643
7Sing?Sym   2.927  0.061  1.004  2.096  1.809  0.452  1.719 -0.039  1.202  1.445  5.718
8Sing?Sym   2.967  0.000  1.001  1.261  1.337  0.253  1.336 -0.014  1.999  2.110  5.035
9Sing?Sym   3.024  0.000  1.000  2.048  1.203  0.173  1.192 -0.154  1.005  1.022  5.192
10Sing?Sym  3.109  0.004  1.001  1.921  2.110  0.700  1.957 -0.368  1.381  1.701  8.234
11Sing?Sym  3.149  0.022  1.001  1.760  1.712  0.858  1.679 -0.778  1.247  1.527  8.428
12Sing?Sym  3.198  0.010  1.001  1.705  1.627  0.860  1.611  0.637  1.202  1.464  8.970
13Sing?Sym  3.318  0.002  1.000  1.809  1.674  0.860  1.619 -0.634  1.140  1.357  8.940
14Sing?Sym  3.331  0.000  1.000  1.682  1.416  0.844  1.422 -0.926  1.005  1.018 11.041
15Sing?Sym  3.399  0.025  1.000  1.513  1.872  0.480  1.769  0.354  1.346  1.710  5.727
16Sing?Sym  3.467  0.000  1.000  1.735  1.556  0.771  1.539 -0.819  1.007  1.027  9.772
17Sing?Sym  3.531  0.079  1.005  1.410  1.733  0.424  1.668 -0.235  1.655  2.062  6.069
18Sing?Sym  3.599  0.069  1.005  1.578  2.017  0.520  1.821 -0.517  1.516  1.890  5.896
19Sing?Sym  3.609  0.069  1.003  2.119  1.981  0.481  1.778 -0.022  1.229  1.594  5.777
20Sing?Sym  3.613  0.000  1.000  1.213  1.324  0.250  1.309 -0.076  1.026  1.087  5.763
