state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.629  0.014  0.006  0.828  0.842  0.029  0.153  0.144
2Sing?Sym   2.118  0.043  0.005  0.009  0.843  0.845  0.158  0.152
3Sing?Sym   2.525  0.015  0.050  0.633  0.794  0.157  0.158  0.213
4Sing?Sym   2.583  0.834  0.745  0.794  0.094  0.067  0.177  0.155
5Sing?Sym   2.841  0.050  0.010  0.420  0.846  0.424  0.147  0.158
6Sing?Sym   2.846  0.000  0.004  0.202  0.852  0.770  0.144  0.027
7Sing?Sym   2.927  0.061  0.030  0.154  0.828  0.619  0.146  0.231
8Sing?Sym   2.967  0.000  0.860  0.854  0.014  0.040  0.127  0.107
9Sing?Sym   3.024  0.000  0.004  0.039  0.867  0.950  0.129  0.011
10Sing?Sym  3.109  0.004  0.048  0.474  0.800  0.316  0.153  0.211
11Sing?Sym  3.149  0.022  0.080  0.783  0.692  0.064  0.229  0.154
12Sing?Sym  3.198  0.010  0.782  0.115  0.049  0.747  0.169  0.139
13Sing?Sym  3.318  0.002  0.032  0.694  0.811  0.120  0.157  0.186
14Sing?Sym  3.331  0.000  0.005  0.805  0.845  0.171  0.150  0.024
15Sing?Sym  3.399  0.025  0.812  0.586  0.039  0.138  0.149  0.276
16Sing?Sym  3.467  0.000  0.005  0.710  0.845  0.254  0.150  0.036
17Sing?Sym  3.531  0.079  0.659  0.831  0.161  0.053  0.184  0.120
18Sing?Sym  3.599  0.069  0.497  0.828  0.176  0.034  0.332  0.144
19Sing?Sym  3.609  0.069  0.033  0.177  0.807  0.541  0.163  0.285
20Sing?Sym  3.613  0.000  0.870  0.849  0.008  0.126  0.121  0.024
