state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1Sing?Sym   1.542  0.002  0.726  0.001  0.074  0.999  0.200  0.001
2Sing?Sym   2.350  0.000  0.630  0.001  0.363  0.998  0.007  0.001
3Sing?Sym   2.394  0.911  0.005  0.005  1.015  1.016  0.002  0.002
4Sing?Sym   3.136  0.003  0.714  0.004  0.091  0.994  0.196  0.002
5Sing?Sym   3.143  0.525  0.727  0.105  0.077  0.851  0.198  0.046
6Sing?Sym   3.173  0.000  0.000  0.001  1.000  0.999  0.000  0.000
7Sing?Sym   3.303  0.000  0.028  0.002  0.887  0.995  0.085  0.002
8Sing?Sym   3.312  0.000  0.625  0.001  0.223  0.998  0.152  0.001
9Sing?Sym   3.353  0.000  0.002  0.001  0.999  1.000  0.000  0.001
10Sing?Sym  3.427  0.000  0.000  0.001  1.000  0.999  0.000  0.000
11Sing?Sym  3.438  0.000  0.050  0.002  0.938  0.998  0.013  0.001
12Sing?Sym  3.506  0.000  0.006  0.059  0.993  0.911  0.002  0.031
13Sing?Sym  3.547  0.001  0.001  0.002  0.999  0.997  0.000  0.001
14Sing?Sym  3.624  0.005  0.715  0.005  0.084  0.995  0.201  0.000
15Sing?Sym  3.686  0.055  0.077  0.003  0.916  0.998  0.009  0.001
16Sing?Sym  3.698  0.000  0.441  0.001  0.123  0.998  0.436  0.001
17Sing?Sym  3.772  0.019  0.016  0.003  0.984  0.997  0.001  0.001
18Sing?Sym  3.864  0.029  0.630  0.155  0.360  0.793  0.011  0.052
19Sing?Sym  3.887  0.058  0.079  0.053  0.910  0.948  0.021  0.011
20Sing?Sym  3.903  0.000  0.006  0.007  0.941  0.987  0.053  0.006
