state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.009  0.001  1.000  1.520  1.047  0.955  1.045  0.955  1.001  1.004 12.226
2Sing?Sym   2.201  0.926  1.026  1.944  1.121  0.094  1.097  0.089  1.065  1.186  6.304
3Sing?Sym   2.267  0.086  1.002  1.573  1.175  0.847  1.151  0.846  1.019  1.061 12.216
4Sing?Sym   2.604  0.004  1.000  1.559  1.141  0.875  1.125  0.873  1.037  1.103  8.941
5Sing?Sym   2.682  0.100  1.000  1.496  1.104  0.905  1.105  0.901  1.029  1.084 11.860
6Sing?Sym   2.715  0.282  1.001  1.462  1.196  0.832  1.192  0.823  1.042  1.116 11.221
7Sing?Sym   2.834  0.000  1.000  1.511  1.027  0.973  1.027  0.973  1.001  1.003 12.876
8Sing?Sym   2.974  0.000  1.000  1.504  1.012  0.988  1.012  0.988  1.000  1.002 16.099
9Sing?Sym   3.134  0.001  1.000  1.999  1.002  0.002  1.002 -0.001  1.020  1.067  6.261
10Sing?Sym  3.215  0.000  1.001  1.986  1.028  0.027  1.028  0.020  1.162  1.376  5.101
11Sing?Sym  3.249  0.001  1.000  1.762  1.502  0.473  1.341  0.467  2.024  2.128  9.138
12Sing?Sym  3.256  0.000  1.000  1.711  1.484  0.572  1.332  0.568  2.024  2.150  9.776
13Sing?Sym  3.309  0.000  1.000  1.998  1.004  0.004  1.004  0.001  1.060  1.176  6.259
14Sing?Sym  3.352  0.530  1.006  1.235  1.556  0.220  1.335  0.155  1.311  1.642  7.663
15Sing?Sym  3.362  0.037  1.001  1.894  1.235  0.109  1.132 -0.059  1.410  1.807  6.038
16Sing?Sym  3.401  0.018  1.000  1.964  1.074  0.021  1.023  0.010  2.072  2.288  6.295
17Sing?Sym  3.451  0.011  1.001  1.996  1.009  0.008  1.009  0.003  1.189  1.401  5.630
18Sing?Sym  3.538  0.028  1.001  1.951  1.106  0.097  1.099  0.085  1.358  1.631  5.902
19Sing?Sym  3.609  0.000  1.000  1.900  1.232  0.197  1.196  0.181  1.136  1.341  6.474
20Sing?Sym  3.737  0.024  1.001  1.997  1.006  0.006  1.006  0.001  1.561  1.786  6.247
