state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1Sing?Sym   1.423  0.000  1.000  1.658  1.193  0.987  1.163  0.688  1.000  1.001 13.579
2Sing?Sym   2.401  0.911  1.022  2.000  1.014  0.006  1.004  0.002  1.057  1.175  5.197
3Sing?Sym   2.943  0.000  1.000  1.875  1.761  0.812  1.436  0.256  1.454  1.649 12.064
4Sing?Sym   3.024  0.000  1.000  1.712  1.312  0.947  1.243  0.583  1.485  1.667 13.222
5Sing?Sym   3.060  0.000  1.000  1.888  1.547  0.949  1.356  0.226  1.031  1.084 13.355
6Sing?Sym   3.123  0.021  1.000  1.679  1.255  0.972  1.240  0.717  1.002  1.008 13.205
7Sing?Sym   3.175  0.000  1.000  2.109  1.854  0.760  1.464 -0.214  1.007  1.026 11.047
8Sing?Sym   3.209  0.000  1.000  2.031  1.547  0.359  1.359 -0.056  1.029  1.091  8.230
9Sing?Sym   3.219  0.000  1.000  2.001  1.007  0.007  1.007  0.000  1.020  1.065  6.156
10Sing?Sym  3.242  0.000  1.000  1.846  1.574  0.904  1.367  0.311  1.006  1.022 13.689
11Sing?Sym  3.369  0.000  1.002  2.002  1.005  0.005  1.005 -0.001  1.213  1.428  4.700
12Sing?Sym  3.412  0.935  1.011  1.477  1.671  0.391  1.578  0.355  1.053  1.185  4.796
13Sing?Sym  3.456  0.000  1.001  2.009  1.025  0.024  1.024 -0.016  1.033  1.103  5.938
14Sing?Sym  3.476  0.000  1.000  2.000  1.001  0.001  1.001  0.001  1.027  1.076  6.216
15Sing?Sym  3.499  0.000  1.000  1.657  1.192  0.987  1.164  0.695  1.000  1.002 13.215
16Sing?Sym  3.551  0.001  1.000  2.003  1.009  0.007  1.007 -0.000  1.945  2.010  6.180
17Sing?Sym  3.575  0.008  1.001  2.053  1.154  0.135  1.138 -0.096  1.556  1.810  5.624
18Sing?Sym  3.595  0.004  1.001  2.040  1.104  0.097  1.106 -0.026  1.608  1.844  5.316
19Sing?Sym  3.706  0.000  1.000  2.038  1.085  0.079  1.080 -0.064  1.057  1.145  6.004
20Sing?Sym  3.790  0.041  1.002  2.006  1.017  0.017  1.017 -0.009  1.569  1.780  5.694
